oṃ sāmavedīyā chāndogyopaniṣat	One should meditate upon the syllable ‘Om’, the Udgītha; because one sings beginning with ‘Om’;
yathā loke he somya puruṣaṃ yaṃ kañcidgandhārebhyo janapadebhyo 'bhinaddhākṣaṃ baddhacakṣuṣamānīya dravyahartā taskarastamabhinaddhākṣameva baddhahastamaraṇye tato 'pyatijane 'tigatajane 'tyantavigatajane deśe visṛjetsa tatra digbhramopeto yathā prāṅvā prāgañcanaḥ prāṅmukho,	‘Just as, in the ordinary world, my dear, having brought a man,any onefrom the Gandhāra Regions, with his eyes bound up,a robbermight leave himwith his eyes bound up and his hands tied,in a forest, or in still more desolated place,that man, having lost all sense of direction, would shoutcrytowards the Eastie with his face turned towards the East,or towards the North, or towards the South, or towards the West,saying ~ With eyes bound up have been brought by robbers from the Gandhāra regions, and have been left here with my eyes bound up’
tasya yathābhinahanaṃ pramucya prabrūyād etāṃ diśaṃ gandhārā etāṃ diśaṃ vrajeti /	‘And as some one might remove his bandage and tell himthe Gandhāra regions lie towards this direction, go in this direction,whereupon;
sa grāmād grāmaṃ pṛcchan paṇḍito medhāvī gandhārān evopasaṃpadyeta / evam evehācāryavān puruṣo veda /	asking his way from village to village, and becoming informed and capable of judging by himself, he would reach the Gandhāra regions;in the same manner, in this world, that person knows who has a teacher;
tasya tāvad eva ciraṃ yāvan na vimokṣye 'tha saṃpatsya iti //	and for him, the delay is only so long as am not liberated and become merged’
evaṃ vikrośatastasya yathābhinahanaṃ yathābandhanaṃ pramucya muktvā kāruṇikaḥ kaścidetāṃ diśamuttarato gandhārā etāṃ diśaṃ vrajeti prabrūyātsa evaṃ kāruṇikena bandhanānmokṣito grāmādgrāmāntaraṃ pṛcchanpaṇḍita upadeśavānmedhāvo paropadiṣṭagrāmapraveśamārgāvadhāraṇasamarthaḥ	While he is thus shouting, some one, with a merciful temperament, might remove his bandagecovering over the eyes,and tell him that the Gandhāra regions lie towards thisthe Northerlydirection, go in this direction,that man, being freed by the sympathetic person from his bandage,asking his way from village to village, becoming informed,by advices offered,and capable of judging by himselfcapable of finding the way to villages as pointed out by others,would reach the Gandhāra regions;
sangandhārānevopasampadyeta netaro mūḍhamatirdeśāntaradarśanatṛḍvā /	such a man alone would reach the place, and not one who is either foolish or desirous of seeing various countries
yathāyaṃ dṛṣṭānto varṇitaḥ svaviṣayebhyo gandhārebhyaḥ puruṣastaskarairabhinaddhākṣo 'viveko diṅmūḍho 'śanāyāpipāsādimānvyāghrataskarādyanekabhayānatharvrātayutamaraṇyaṃ praveśito duḥkhārto vikrośanbandhanebhyo mumukṣustiṣṭhati sa kathañcideva kāruṇikena kenacinmokṣitaḥ svadeśāngandhārānevā'panno nirvṛtaḥ sukhyabhūt /	Just as in the illustration as described, the man was brought from his country in the Gandhāra regions, by robbers, with his eyes bound up,and lacking discriminating and confound in regard to the directions, beset with hunger, thirst, and other privations,was brought into a forest infested with tigers, robbers and other dangers,in sore trouble, crying,remains there, eager to be liberated;then he is liberated by some sympathetic person, and ultimately somehow reaches his own Gandhāra country, became happy and contented
evameva sato jagadātmanaḥ svarūpāttejovannādimayaṃ dehāraṇyaṃ vātapittakapharudhiramedomāṃsāsthimajjāśukrakṛmimūtrapurīṣavacchītoṣṇādyanekadvandvasukhaduḥkhavaccedaṃ mohapaṭābhinaddhākṣo bhāryāputramitrapaśubandhvādidṛṣṭādṛṣṭānekaviṣayatṛṣṇāpāśitaḥ puṇyāpuṇyāditaskaraiḥ praveśito'hamamuṣya putro mamaite bāndhavāḥ sukhyahaṃ duḥkhī mūḍhaḥ paṇḍito dhārmiko bandhumāñjāto mṛto jīrṇaḥ pāpī putro me mṛto dhanaṃ me naṣṭaṃ hā hato 'smi kathaṃ jāviṣyāmi kā me gatiḥ kiṃ me trāṇam ityevamanekaśatasahasrānarthajālavānvikrośankathañcideva	In the same manner, the man is carried away from Being, the Self of the Universe,by robbers in the shape of merit, demerit and other tendencies,and made to enter the forest of this Body made up of Fire, Water, Food and other ingredients, and containing wind, bile, phlegm, blood, fat, flesh, bone, marrow, semen, worms urine and fæces, and beset with several pains of opposites, like heat and cold,with his eyes bound up with the bandage of delusion, caught in the noose of longing for wife, son, friends, cattle, relative and such other perceptible and imperceptible things, enmeshed in the meshes of hundreds and thousands of such evils and austerities and cryingas ‘ am the son of such and such a person,’ ‘these are my relatives,’ ‘ am happy,’ ‘ am unhappy,’ ‘ am deluded, ‘ am wise,’ ‘ am righteous,’ ‘ have many relatives, ‘my son is born, is dead, is sinful’, ‘my property has been lost’, ‘Ah! am damned’, ‘How shall live? ‘What is to be my fate?’ ‘What is to be my refuge?’Then, by the influence of some good fortune due to the excess of merit, he gets a teacher, who is extremely sympathetic, and knows the Being, the Brahman, the Self,and who is himself liberated from all bondage and rests firmly upon Brahman,and this Brahmanknowing teacher, through pity, shows him the way to perceive the defects in worldly objectswhereupon he loses all attachment to these worldly objects,and on being told that ‘thou art not one who passes through the cycle of births and deaths, thou art not the son, or any relation of such and such a person, etc,in fact, thou art pure Being, that which Thou Art,’ and thus he becomes liberated from the bondage of Ignorance,like the man from Gandhāra,reaches his own True Self, Being, and becomes happy and for ever contented’
yadā'sādayati tena ca brahmavidā kāruṇyāddarśitasaṃsāraviṣayadoṣadarśanamārgo viraktaḥ saṃsāraviṣayebhyo nāsi tvaṃ saṃsāryamuṣya putratvādidharmavānkiṃ tarhi sadyattattvamasītyavidyāmohapaṭābhinahanānmokṣito	It is all this which the Father meant by saying‘That person knows who has a teacher’ For him,for the man who has been liberated from the bondage of Ignorance,the delaythe postponementin merging into his real Self, Beingis only so long;how long is the delay?so long as am liberatedie he becomes liberated
gandhārapuruṣavacca svaṃ sadātmānamupasampadya sukhī nirvṛtaḥ syādityetamevārthamāhā'cāryavānpuruṣo vedeti tasyāsyaivamācāryavato muktāvidyābhinahanasya tāvadeva tāvāneva kālaściraṃ	The first person in the word ‘Vimokṣye’ is to be taken in the sense of the third person, as such is the force of the sense;ie the delay is only so long as that Kārmic Residue is not exhausted, by experience, by virtue of which his Body has been brought about,and so long as, as the consequence of this, that Body does not fall off;and then there do become merged alsoie he becomes mergedhere also the first person is to be taken in the sense of the third person;
kṣepaḥ sadātmasvarūpasampatteriti vākyaśeṣaḥ /	hence, the word ‘atha’ cannot be taken as expresssing sequence
sāmarthyāt / yena karmaṇā śarīramārabdhaṃ tasyopabhogena yenāthaśabda ānantaryārthaḥ syāt / nanu yathā sadvijñānāntarameva dehapātaḥ satsampattiśca na bhavati karmaśeṣavaśāttathāpravṛttaphalāni prāgjñānotpatterjanmāntarasañcitānyapi karmāṇi santīti tatphalopabhogārthaṃ patite	ObjectionThe falling off of the Body and the merging into Being do not, as a matter of fact, follow immediately after the attaining of the knowledge of Being,on account of there still remaining the remnants of the same Kārmic Residua which have become operative and as such have to be expiated during the present lifenow in the same way even those Karmic Residua which have not yet become operative towards bringing about their results, coming on as stored through other births previous to the attainment of the said knowledge of Being;
utpanne ca jñāne yāvajjīvaṃ vihitāni pratiṣiddhāni vā karmāṇi karotyeveti tatphalopabhogārthaṃ cāvaśyaṃ śarīrāntaramārabdhavyaṃ tataśca karmāṇi tataḥ śarīrāntaramiti jñānārthakyaṃ karmaṇāṃ phalavattvāt /	and certainly for the experiencing of the results of these also, another body has to be produced for the man,even after the falling off of the present body;then again even after the said knowledge has come about, the man continues to perform many actssome enjoined, some forbidden,and for the experiencing of the results of these fresh actions also, there has to be another body;then further fresh acts,and further consequent bodies;so that the attaining of knowledge becomes practically futile, inasmuch as actions must produce effects and these must be experienced in a body
atha jñānavataḥ kṣīyante karmāṇi tadā jñānaprāptisamakālameva jñānasya satsampattihetutvānmokṣaḥ syāditi śarīrapātaḥ syāt /	If it be held that for the man who has attained true knowledge all Kārmic Residua disappear,then liberation should appear simultaneously with the attainment of knowledge, and knowledge being the direct cause of mergence into Being,so that the body should fall off immediately
tathācā'cāryābhāvaityācāryavānpuruṣo vedetyācāryavattvānupapattirjñānānmokṣābhāvaprasaṅgaśca /	The result of this would be that the man would have had no time to approach a teacher, and this would be incompatible with the declaration that ‘he alone knows who has got a teacher and also obviously the possibility of there being no liberation resulting from knowledge;or there would be an element of uncertainty regarding the result of knowledge;
deśāntaraprāptyupāyajñānavadanaikāntikaphalatvaṃ vā jñānasya / na /	and would come to resemble the means of reaching one place from another which may or may not lead to the desired result
karmaṇāṃ pravṛttāpravṛttaphalavattvaviśeṣopapatteḥ /	it is possible to make a distinction between,such Kārmic Residua as has already become operative in bringing about its results and such another as has not become so operative
yaduktamapravṛttaphalānāṃ karmamāṃ dhruvaphalavattvādbrahmavidaḥ śarīre patite śarīrāntaramārabdhavyamapravṛttakarmaphalopabhogātharmityetadasat	It has been argued thatInasmuch as even these Kārmic Residua which have not become operative must bring about their results, when the present body falls, there must be produced another body, for the experiencing of the results of those actions which had not become already operativeBut this is not right;
viduṣastasya tāvadeva ciram iti śruteḥ prāmāṇyāt /	because of the authoritative declaration of the Śruti to the effect that ‘for him the delay is only so long etc, etc’ which shows that liberation must follow the falling off of the present body
nanupuṇyo vai pumyena karmaṇābhavatiityādiśruterapi prāmāṇyameva /	Objection‘Authority also attaches to such declarations as ‘one becomes pure by pure acts’ Bṛhadā iii so that an act must produce a body
tasyamevam /	True, it is so;
tathāpi pravṛttaphalānāmapravṛttaphalānāṃ ca karmaṇāṃ viśeṣo 'sti /	yet, there is a difference between such Kārmic Residua as have become operative towards bringing about their results and such others as have not become so operative
katham / yāni pravṛttaphalāni karmāṇi yairvidvaccharīramārabdhaṃ teṣāmupabhogenaiva kṣayaḥ /	How?These Kārmic Residua which have become operative, and to which the present body of the knowing man is due, can be exhausted by experience alone;
yathā'rahdhavegasya lakṣyamukteṣvādervegakṣayādeva sthitirna tu lakṣyavedhasamakālameva prayojanaṃ nāstīti tadvat / anyāni tvapravṛttaphalānīha prāgjñānotpatterūrdhvaṃ ca kṛtāni vā kriyamāṇāni vātītajanmāntarakṛtāni vāpravṛttaphalāni jñānena dahyante prāyaścitteneva	just as in the case of the arrow that has been shot at a certain target, it comes to rest only when the momentum is exhausted, and not successively on its reaching the target on account of there being no purpose to be served by its going any further;so in the case in question also,there are however other Kārmic Residua which have not yet become operative,as also those acts that have been done and are being done during the present life, prior to the attaining of knowledge and after it,or those of past lives which have not yet become operative,all these are consumed by True Knowledge, in the same way as they are by expiatory Rites;
kṣīyante cāsya karmāṇiiti cā'tharvaṇe /	and also in the Atharvaṇa‘Kārmic Residua become exhausted’
ato brahmavido jīvanādiprayojanābhāve 'pi pravṛttaphalānāṃ karmaṇāmavaśyameva phalopabhogaḥ syāditi mukteṣuvattasya tāvadeva ciramiti yuktamevoktamiti yathoktadoṣacodanānupapattiḥ	Thus then, though for the man who knows Brahman, there is no further use for life, yet there surely would be experiencing of the results of those Kārmic Residua that have become operative,just as in the case of the arrow that has been shot;and it is only right that for him there is delay only so long etc, etc, and there is no room for the objections that have been urged
jñānotpatterūrdhvaṃ ca brahmavidaḥ karmābhāvamavocāmabrahmasaṃstho 'mṛtatvametītyatra /	After the appearance of True Knowledge for the knower of Brahman,there is no further Kārmic Residua, as we have already explained, under the text‘the man resting in Brahman attains immortality etc,’ Cā
tacca smartumarhasi //	xxiii you may recall that to your mind
sa ya eṣo 'ṇimaitad ātmyam idaṃ sarvam /	‘That which is this subtlest essence,in that has all this its Self;
tat satyam /	That is True;
sa ātmā /	that is Self;
tat tvam asi śvetaketo iti / bhūya eva mā bhagavān vijñāpayatv iti / tathā somyeti hovāca //	That Thou art, O, Śvetaketu’,‘Please explain this to me again, revered Sir ‘So be it, my boy’, he said
sa ya ityādyuktārtham /	That which etc as already explained before
ācāryavānvidvānyena krameṇa satsampadyate taṃ kramaṃ dṛṣṭāntena bhūya eva mā bhagavānvijñāpayatviti / tathā somyeti hovāca //	‘Please explain to me by means of illustrations the order of sequence in which the learned man with a teacher becomes merged into Being’‘Be it so, my boy,’he said
iti cchāndogyopaniṣadi ṣaṣṭhādhyāyasya caturdaśaḥ khaṇḍaḥ	End of Section of Discourse
puruṣaṃ somyotopatāpinaṃ jñātayaḥ paryupāsate jānāsi māṃ jānāsi mām iti / tasya yāvan na vāṅ manasi saṃpadyate manaḥ prāṇe prāṇas tejasi tejaḥ parasyāṃ devatāyāṃ tāvaj jānāti //	‘My dear, when a man is ill, his relatives assemble round him and askDo you know me ?do you know me ?so long as his speech has not become merged in Mind, Mind in LifeBreath, the LifeBreath in Fire and the Fire in the Supreme Deity,he knows them
puruṣaṃ he somyotopatāpinaṃ jvarādyupatāpavantaṃ jñātayo bāndhavāḥ parivāryopāsate mumūrṣuṃ jānāsi māṃ tava pitaraṃ putraṃ bhrātaraṃ veti pṛcchantastasya	My boy, when a man is ill,suffering from fever and other diseases,his relatives assemble round himwhen he is about to die,and ask himDo you know meyour father, a son, or brother as the case may be
mumūrṣoryāvanna vāṅmanasi sampadyate manaḥ prāṇe prāṇastejasi tejaḥ parasyāṃ devatāyāmityetaduktartham //	of the dying man,so long as speech has not become merged in mind, the mind in lifebreath, and lifebreath in fire, etc, etc, all which has been already explained
atha yadāsya vāṅ manasi saṃpadyate manaḥ prāṇe prāṇas tejasi tejaḥ parasyāṃ devatāyām atha na jānāti //	‘Now, when his Speech becomes merged into mind, the Mind in Life breath, the Lifebreath in Fire and Fire in the Supreme Deity,then he does not know them’
saṃsāriṇo yo maraṇakramaḥ sa evāyaṃ viduṣo 'pi satsampattikrama ityetadāha parasyāṃ devatāyāṃ tejasi sampanne 'tha na jānāti	The text now proceeds to show that manner of mergence into Being, of the Man with knowledge, is the same as that of the ordinary worldly man When the Fire has become merged into the Supreme Deity, then he does not know them
avidvāṃstu sata utthāya prāgbhāvitaṃ vyāghrādibhāvaṃ devamanuṣyādibhāvaṃ vā viśati /	The difference between the two men however is thisAs regards the Man without knowledge, having arisen out of Being, enters into thempredetermined state of the tiger and other animals, or of deities, or men or other beings;
vidvāṃstu śāsrācāryopadeśajanitajñānadīpaprakāśitaṃ sadbrahmātmānaṃ praviśya nā'vartata ityeṣa satsampattikramaḥ /	whereas, the man with knowledge, having entered into BeingBrahmanSelfillumined by the lamp of knowledge derived from the teaching of Teachers and Scriptures,never again returns to Birth; this being his manner of merging into Being
anye tu mūrdhanyayā nāḍyotkramyā'dityādidvāreṇa sadgacchantītyāhustadasat /	Others, however, have held that the man, going out of the artery in the head, reaches Being through the Sun and other Deities
deśakālanimittaphalābhisandhānena gamanadarśanāt /	Because the progress after death of the Man ego is dependent upon the peculiarities of the notions of time, place and causes and of the motive for results;
na hi sadātmaikatvadarśinaḥ satyābhisandhasya deśakālanimittaphalādyanṛtābhisandhirupapadyate /	for one, however, who has recognised the Unity of the TrueSelf, and who has no other motive save Truth,there can be no any such false notions as those of Time, Place, Causes or Motive for results;
virodhāt /	for the simple reason that the two are incompatible
avidyākāmakarmaṇāṃ ca gamananimittānāṃ sadvijñānahutāśanavipluṣṭatvādgamanānupapattireva /	Further, Ignorance, Desire and Kārmic Residuawhich are the cause of the man’s progression,are all burnt up by the Fire of True Knowledge, and hence, there can be no progressing through the Sun etc for the Man with knowledge;
paryāptakāmasya kṛtātmanastivahaiva sarve pravilīyanti kāmāḥityādyātharvaṇe /	this has been thus described in the Ātharvaṇa text‘for one whose all desires have been fulfilled and who has reached the Self,all desires disappear in this life itself’
sa ya eṣo 'ṇimaitad ātmyam idaṃ sarvam /	‘That which is this Subtle Essence,in that has all this its Self;
tat satyam /	that is True;
sa ātmā /	that is the Self;
tat tvam asi śvetaketo iti / bhūya eva mā bhagavān vijñāpayatv iti / tathā somyeti hovāca //	that thou art, Śvetaketu’‘Revered sir, please explain this to me again’‘Be it so, my boy,’he said
sa ya ityādi samānam /	That which is etc, etc just as before
yadi mariṣyato mumukṣataśca tulyā satsampattistatra vidvānsatsampanno nā'vartata āvartate tvavidvānityatra kāraṇaṃ dṛṣṭāntena bhūya eva mā bhagavānvijñāpayatviti tathā somyeti hovāca //	If, for the dying man and for the man going to be liberated,for both, the mergence into Being be similar,then, the man with knowledge, on merging into Being, does not return, while the Man without knowledge does return, to worldly existence,‘what is the reason for this?’please explain this further to me by means of illustrations’‘Be it so, my boy’he said
iti cchāndogyopaniṣadi ṣaṣṭhādhyāyasya pañcadaśaḥ khaṇḍaḥ	End of Section of Discourse
puruṣaṃ somyota hastagṛhītam ānayanti /	‘My boy, they bring a man, holding him by the hand, sayingHe has taken something,he has committed theft, heat the axe for him;
apahārṣīt steyam akārṣīt paraśum asmai tapateti / sa yadi tasya kartā bhavati tata evānṛtam ātmānaṃ kurute /	in case he has committed the deed, he makes himself false, on that account, and being addicted to falsehood, he covers himself with falsehood and grasps the heated axe;
sa dahyate / atha hanyate //	he is burnt, and then he is killed’
śṛṇu yathā somya puruṣaṃ cauryakarmaṇi sandihyamānaṃ nigrahāya parīkṣaṇāya votāpi hastagṛhītaṃ baddhahastamānayanti rājapuruṣāḥ kiṃ kṛtavānayamiti pṛṣṭāścā'hurapahārśīddhanamasyāyam / te cā'huḥ kimapaharaṇamātrema bandhanamarhati / anyathā datte 'pi dhane bandhanaprasaṅgādityuktāḥ punarāhuḥ steyamakārṣīttauryeṇa dhanamapahārṣīditi / teṣvevaṃ vadatsvitaro 'pahnate nāhaṃ tatkarteti /	‘Listen, my boy, when a man is suspected of having committed theft, the king’s officers hold him by the hand with his hands tied up,and bring him for trial and punishment,when asked‘What has he done?’they say‘He has taken something,something belonging to such and such a person the questioner says‘Does he deserve arrest and bondage only for taking something from some one? In that case there could be arrest also when some property is given and received as a gift’The officers say‘He has committed theft,he has taken another man’s property by theft’When the officers have said this, the suspected person denies his guilt‘ have not committed the theft’The officers say to the suspected man‘You have committed theft of this property’When the accused has denied his guilt, they sayHeat the axe for him;let him clear himself by ordeal’If the man has really committed the theft,and denies the guilt only outwardly,he makes himself false,ie, by the mere denial, he represents himself as what he is not;
santamanyathā'mānaṃ kurute sa tathānṛtābhisandho 'nṛtenā'tmānamantardhāya vyavahitaṃ kṛtvā paraśuṃ taptaṃ mohātpratigṛhrāti sa dahyate 'tha hanyate rājapuruṣaiḥ svakṛtenānṛtābhisandhidoṣeṇa //	and thus being addicted to false hood he covers himself with falsehood,ie, hiding himself under untruthhe grasps the heated axefoolishly;and he is burnt and killed by the king’s officers,on account of his own fault of being addicted to falsehood
atha yadi tasyākartā bhavati / tata eva satyam ātmānaṃ kurute / sa satyābhisandhaḥ satyenātmānam antardhāya paraśuṃ taptaṃ pratigṛhṇāti / sa na dahyate /	‘If, however, he has not committed it, then he makes himself true on that account and being addicted to Truth, he covers himself by Truth and grasps the heated axe;he is not burnt, he is let off’
atha yadi tasya karmaṇo 'kartā bhavati tata eva satyamātmānaṃ kurute	‘If, however, the man has not committed the deed,he makes himself true, on that account;
sa satyena tayā stainyākartṛtayā'tmānamantardhāya paraśuṃ taptaṃ pratigṛhṇāti sa satyābhisandhaḥ sanna dahyate satyavyavadhānādatha mucyate ca mṛṣābhiyoktṛbhyaḥ /	and covers himself by truth,in the form of not committing theft,he grasps the heated axe,and being addicted to truth, he is not burnt, because of the intervention of truth, and he is let off,rescued from his false accusers
taptaparaśuhastatalasaṃyogasya tulyatve 'pi steyakartrakartroranṛtābhisandho dahyate na tu satyābhisandhaḥ //	Though the contact of the heated axe with the hand is practically the same in both cases of the man who has committed the theft and the man who has not committed the theft,the man addicted to untruth is burnt,not so the man addicted to truth
sa yathā tatra nādāhyeta / etad ātmyam idaṃ sarvam /	‘And as he is not burnt,in that has all this its Self;
tat satyam /	That is the true;
sa ātmā /	That is the Self;
tat tvam asi śvetaketo iti / tad dhāsya vijajñāv iti vijajñāv iti //	that thou art, O, Śvetaketu’Then, he understood it of him,yea, he understood it
sa yathā satyābhisandhastaptaparaśugrahaṇakarmaṇi satyavyavahitahastatalatvānnādāhyeta na dahyetetyetadevaṃ sadbrahmasatyābhisandhītarayoḥ śarīrapātakāle ca tulyāyāṃ satsampattau vidvānsatsampadya na punarvyāghradevādidehagrahaṇāyā'vartate / avidvāṃstu vikārānṛtābhisandhaḥ punarvyāghrādibhāvaṃ devatādibhāvaṃ vā yathākarma yathāśrutaṃ pratipadyate /	As in the case cited, the man addicted to truth, on grasping the heated axe, is not burnt, because his palm was protected by truth,in the same way, at the time that the bodies of the man having the true knowledge of BeingBrahman and the other man who has no such knowledge, are dyingthough the merging into Being is similar in both cases, the man with knowledge having become merged into Being, does not return to the body of the tiger, or of a deity or other beings,while the man without knowledge, addicted to the false, in the shape of the products, does return, to be born again as a tiger or a deity or other things, in accordance with his Kārmic Residua, in the manner described in the scriptures
yadātmābhisandhyanabhisandhikṛte mokṣabandhane yacca mūlaṃ jagato yadāyatanā yatpratiṣṭhāśca sarvāḥ prajā yadātmakaṃ ca sarvaṃ yaccājamamṛtamabhayaṃ śivamadvitīyaṃ tatsatyaṃ sa ātmā tavātastattvamasi he śvetaketo ityuktārthamasakṛdvākyam /	Thus liberation and bondage are due to addiction to truth and untruth respectively;and that which is the root of the universe, wherein all creatures dwell and rest,and in which all things have their Self,which is immortal, free from dangers, blessed, without a second,that is true, that is thine Selfhence, that thou art, O Śvetaketu
kaḥ punarasau śvetaketustvaṃśabdārthaḥ /	QuestionWho is this Śvetaketu, who is spoken of as Thou?
yo 'haṃ śvetaketuruddālakasya putra iti vedā'tmānamādeśaṃ śrutvā matvā vijñāya cāśrutamamatamavijñātaṃ vijñātuṃ pitaraṃ papraccha kathaṃ nu bhagavaḥ sa ādeśo bavatīti sa eṣo 'dhikṛtaḥ śrotā mantā vijñātā tejobannamayaṃ kāryakāraṇasaṅghātaṃ praviṣṭā paraiva devatā nāmasvarūpavyākaraṇāyā'darśa iva puruṣaḥ sūryāduriva jalādau pratibodhitastattvamasītidṛṣṭāntairhetubhiśca tatpiturasya ha kiloktaṃ sadevāhamasmīti vijajñau vijñātavān /	AnswerI, Śvetaketu, who know myself as the son of Uddālaka, having heard the teaching and pondered over it and learnt it, requested the Father to teach him what he had not heard, or pondered over, or known‘What, revered Sir, is that Teaching?’This represents the person who, being entitled to be the hearer, the ponderer and the knower,did not, before he was taught by his father, had not reached the true nature of his own self, as Being, the Self of all, as distinct from all aggregates of causes and effects,whichas the Supreme Deity,has entered into the aggregate of causes and effects made up of Fire, Water and Food, for the differentiating of Names and Forms,just as man enters the mirror, as his own reflection, or the Sun enters into water and other reflecting surfaces, as its own reflection;now however, having been enlightened by his father by the teaching ‘that Thou art’, through a number of illustrations and reasons,he understood from his father that ‘ am Being itselfThe repetition is meant to indicate the end of the Discourse
dvirvacanamadhyāyaparisamāptyartham / kiṃ punaratra ṣaṣṭhe vākyapramāṇena janitaṃ phalam?	QuestionWhat is the resultant cognition regarding the Self which is brought about by the Verbal means of cognition Vedic text set forth in this Sixth Discourse?
ātmani kartṛtvabhoktṛtvayoradhikṛtatvavijñānanivṛttistasya phalaṃ yaṃ vayamavocāma tvaṃśabdavācyamarthaṃ śrotuṃ mantuṃ cādhikṛtamavijñātavijñānaphalārtham	AnswerWe have already explained above that the result brought about by this Discourse is the setting aside of the notion that ‘Self is the actual doer of acts and enjoyer of the results of those acts;and when we spoke of the entity denoted by the term ‘thou ie the living Self, the Jīva, born in the body and the fact of that entity being one who is to ‘hear’ and ‘reflect upon’ the Self,we did so only for asserting what is not generally known
prākcaitasmādvijñānādahamevaṃ kariṣyāmyagnihotrādīni karmāṇyahamatrādhikṛtaḥ /	Before all this is known, the ordinary man has such notions as‘ shall perform these actions, the Agnihotra and the rest
eṣāṃ ca karmaṇāṃ phalamihāmutra ca bhokṣye kṛteṣu vā karmasu kṛtakartavyaḥ syāmityevaṃ kartṛtvabhoktṛtvayoradhikṛto 'smītyātmani yadvijñānamabhūttattasya yatsajjagato mūlamekamevādvitīyaṃ	am entitled to the performance;the results of these acts shall enjoy in this world and in the other;or having done these acts, shall be happy and contented’,all these notions, which involve the idea of the Self being the actual performer and enjoyer, are set aside by the assertion that ‘Thou art That Being which is the root of the universe, one, without a second’,for the man who has become awakened to true knowledge;
tattvamasītyanena vākyena pratibuddhasya nivartate / virodhāt /	that the said notions are set aside by this last assertion follows from the fact that the two are mutually contradictory so that if the latter is true, the former must be false
na hyekasminnadvitīya ātmanyayamahamasmīti vijñāte mamedamanyadanena kartavyamidaṃ kṛtvāsya phalaṃ bhokṣya iti vā bhedavijñānamupapadyate /	As a matter of fact, when it has been realised that ‘ am the Self, one, without a secondit is not possible for him to have such notions involving diversity as ‘this is to be done by me,that by another’, ‘that having done this act, shall enjoy its result’;
tasmātsatsatyādvitīyātmavijñāne vikārānṛtajīvātmavijñānaṃ nivartata iti yuktam /	hence, it is only right and proper that on the realisation of Being, the Self, the True, without a second, the idea of ‘the Living Self’ being a product and unreal
nanu tattvamasītyatra tvaṃśabdavācyer'the sadbuddhirādhitsyate yathā'dityamana ādiṣu brahmādibuddhiḥ /	ObjectionWhat is done in the assertion ‘That thou art’ is that the idea of ‘Being’ is attributed to what is denoted by the term ‘thou’ just as this idea of Brahman and other Deities is attributed to the Sun, the Mind and other things,or as in the ordinary world, the idea of
yathā ca loke pratimādiṣu viṣṇvādibuddhistadvannatu sadeva tvamiti,	Viṣṇu and other Deities attributed to the Images;
yadi sadeva śvetaketuḥ syātkathamātmānaṃ na vijānīyādyena tasmai tattvamasītyupadiśyate / na /	and the assertion does not mean that thou art that same Being AnswerNot so;
ādityādivākyavailakṣaṇyāt /	this assertion is entirely different in character of those relating to the Sun and other things
ādityo brahmetyādāvitiśabdavyavadhānānna sākṣādbrahmatvaṃ gamyate /	In such passages as the Sun is as Brahman’ should be looked or meditated upon as Brahman, the intervention of the term ‘as’ makes it impossible for it to provide the idea that ‘the Sun is actually Brahman itself’;
rūpādimattvāccā'dityādīnāmākāśamanasoścetiśabdavyavadhānādevābrahmatvamiha tu sata eveha praveśaṃ darśayitvā tattvamasīti niraṅkuśaṃ sadātmabhāvamupadiśati	also because the Sun and other things have such qualities as colour and the like, and because Ākāśa and Mind are always spoken of along with the term ‘as’,therefore none of these can be Brahman;while in the case of the assertion in question‘That thou art’what is done is that first of all it is shown that the Being enters the world at birth which shows that the Being is something distinct from the world, and then it is declared that ‘That thou art’ which asserts, without the slightest restraint, that the ‘Thou’ is absolutely and entirely the same as Being, the Self
nanu parākramādiguṇaḥ siṃho 'si tvamitivattattvamasīti syāt / na /	ObjectionThe assertion ‘that thou art’ may be a figurative one, just as a man endowed with courage and other qualities is spoken as ‘you are a lion’
mṛdādivatsadekamevādvitīyaṃ satyamityupadeśāt /	because it has been taught that Being, one, without a second, is the only real Entitylike ‘clay’ being the one entity pervading all products of clay
na copacāravijñānāttasya tāvadeva ciramiti satsampattirūpadiśyeta / mṛṣātvādupacāravijñānasya /	If it were a more figurative expression, the knowledge thereof could not be spoken of as bringing about that mergence into Being where ‘the delay is only so long’ etc, because all figurative notions are false unreal
tvamindro 'si yama itivat /	just like the notions ‘you are Indra’, ‘you are Yama’
nāpi stutiranupāsyatvācchvetaketoḥ / nāpi sacchvetaketutvopadeśena stūyeta /	Nor can the figurative expression be regarded as an eulogy, because Śvetaketu is not a person to be worshipped hence eulogised;
na hi rājā dāsastvamiti stutyaḥ syāt / nāpi sataḥ sarvātmana ekadeśanirodho yuktastattvamasīti deśādhipateriva grāmādhyakṣastvamiti / na cānyā gatiriha sadātmatvopadeśādarthāntarabhūtā sambhavati /	certainly the king could not be eulogised as you are the servant Even granting that it is an eulogy of Being It would not be right to restrict the Being, which is the AllSelf, to one point, by asserting ‘That thou art’, which would be like restricting the kingship of the king over the whole country to kingship over a single village
nanu sadasmītibuddhimātramiha kartavyatayā codyate na tvajñātaṃ sadasīti jñāpyata iti cet /	OpponentAll that is taught here is that one should cultivate the notion that ‘ am Being’, and it does not make known, by saying ‘thou art Being anything that is not already known
