input_text	target_text
sakkāraṃ nābhinandeyā vivekam anubrūhaye ||	should not delight in honours, but practise in solitude.
jayaṃ ve manyate bālo vācāya paruṣaṃ bhaṇaṃ |	The fool thinks there is success, when he speaks words that are rough,
satāṃ hesa jayo hoti yā titikkhā vijānato ||	but for the one who knows, endurance is the success of the good.
abalaṃ tassa balaṃ hoti yassa bālabalaṃ balaṃ |	Without power is the power of him whose power is the power of a fool,
balassa dhammaguttassa paṭivattā na vijjati ||	reproach is not found for the powerful one, protected by Dhamma.
yo bālo bālamānī paṇḍito cāpi tattha so |	The fool who conceives he is a fool, is at least wise in that matter,
bālo tu paṇḍitamānī sa ve bālo ti vuccati ||	the fool who is proud of his wisdom, he is said to be a fool indeed.
drīghā assupato rātrī drīghaṃ śāntassa yojanaṃ |	Long is the night for one who sleeps not, long is a league for one tired,
drīgho bālānā saṃsāro saddhaṃmam avijānatāṃ ||	long is the round of births and deaths for fools who know not True Dhamma.
pūtimacche kuśāggreṇa yo naro upanahyati |	That man who wraps up rotting fish with the best fragrant grass,
kuśā pi pūtiṃ vāyanti evaṃ bālopasevanā ||	makes the fragrant grass smell rotten, and so with those who associate with fools.
tagarañ ca palāśamhi yo naro upanahyati |	That man who wraps up pinwheel in flame-tree leaves,
pattaṃ pi surabhiṃ vāti evaṃ dhīropasevanā ||	makes even the leaf fragrant, and so with those who associate with the wise.
akaronto pi ce pāpaṃ karonte upasevati |	If one who does no wickedness associates with those who do,
śaṅkiyo hoti pāpamhi avaṇṇo cāssa rūhati ||	he is suspected of wickedness, and his disrepute increases.
sevamāno sevamāne saṃpuṭṭho saṃphusaṃ pare |	An associate associating with others who are touched by contacts,
śaro litto kalāpe vā alitte upaliṃpati |	like a smeared arrow in a bunch, smears that which is unsmeared,
upalepabhayā dhīro neva pāpasakhā siyā ||	fearing being smeared the wise one will not have wicked friends.
tassā phalapuṭasseva ñāyyā saṃpākam āttano |	Therefore knowing the result for oneself of the fruit container,
asanto nopaseveyā santo seveya paṇḍito ||	he should not follow the bad one, the wise one should associate with the good one.
yāvaj jīvaṃ pi ce bālo paṇḍite payirupāsati |	Even if a fool attends on a wise man for his whole life long,
neva dhammaṃ vijānāti dravvī sūparasān iva ||	he does not learn Dhamma, like the spoon learns not the taste of curry.
muhuttam api ce praṃño paṇḍite payirupāsati |	If a perceptive man attends on a wise man even for a second,
khipraṃ dhammaṃ vijānāti jivhā sūparasān iva ||	he quickly learns Dhamma, like the tongue learns the taste of curry.
nāppaṃ pāpassa maṃñeyā na me taṃ āgamiṣyati |	One should not despise a little wickedness thinking: it will not come to me,
udabindunipātena udakuṃbho pi pūrati ||	through the falling of water drops the water-pot is quickly filled,
pūrate bālo pāpassa thokathokaṃ pi ācinaṃ |	the fool, gathering bit by bit, becomes full of wickedness.
nāppaṃ puṃñassa manyeyā na me taṃ āgamiṣyati ||	One should not despise little merit thinking: it will not come to me,
pūrate praṃño puṃñassa thokathokaṃ pi ācinaṃ ||	the wise one, gathering bit by bit, becomes full of merit.
bālavarggaḥ	The Chapter about Fools
khāntī paramaṃ tapo titikkhā nibbāṇaṃ paramaṃ vadanti buddhā |	Enduring patience is the supreme austerity, Nibbāna is supreme say the Buddhas,
na hi pravrajito paropaghātī śamaṇo hoti pare vihesayāno ||	for one gone forth does not hurt another, nor does an ascetic harass another.
ahiṃsakā ye munayo niccaṃ kāyena saṃvṛtā |	Those sages without violence, constantly restrained in body,
te yānti accutaṃ ṭṭhāṇaṃ yattha gantā na śocati ||	go to the deathless Nibbāna, having gone there they do not grieve.
suprabuddhaṃ prabujjhanti sadā gotamasāvakā |	Gotama’s disciples always awake to a good wakening,
yesāṃ divā ca rātto ca ahiṃsāya rato mano ||	those who day and night have a mind that delights in non-violence.
yesāṃ divā ca rātto ca bhāvanāya rato mano ||	those who day and night have a mind that delights in cultivation.
yesāṃ divā ca rātto ca niccaṃ kāyagatā satī ||	those who day and night constantly have mindfulness of the body.
ye jhānaprasutā dhīrā nekkhaṃmo ’paśame ratā |	Those wise ones intent on meditation, who delight in the peace of renunciation,
devā pi tesaṃ prihayanti saṃbuddhānāṃ satīmatāṃ ||	even the gods are envious of them, the Sambuddhas, the ones who are mindful.
aranne yadi vā ggrāme ninne vā yadi vā thale |	Whether in the wilds or village, whether on low or on high ground,
yattha arahanto viharaṃti taṃ bhomaṃ rāmaṇīyakaṃ ||	wherever the Arahats live, that ground is surely delightful.
ekaṃ pi ce prāṇam aduṣṭacitto mettāyate kuśalī tena hoti |	If, for even one living being, one with an uncorrupt mind, has loving-kindness, there is wholesomeness in that,
sabbe ca prāṇe manasā ’nukaṃpī prabhūtam ayiro prakaroti puṃñaṃ ||	but the one with compassion in mind for all living beings, that noble one makes abundant merit.
ye sattaśaṇḍāṃ paṭhaviṃ vijettā rājariṣayo yajamānā ’nupariyagu |	Those who conquered the earth, crowded with beings, those royal seers who went round sacrificing:
aśśamedhaṃ puruṣamedhaṃ saṃmaprāsaṃ vāyupeyaṃ nirāggaḍaṃ |	the horse sacrifice, the man sacrifice, the stick-casting, the soma offering, the unobstructed—
mettassa cittassa subhāvitassa kalāṃ pi te nānubhavanti soḍaśiṃ |	compared to the one who develops his mind with loving-kindness, they do not partake of even a sixteenth part,
candaprabhāṃ tāragaṇā va sabbe ||	just as the whole host of stars do not partake of the radiance of the moon.
yo ’tha metteṇa cittena sabbe prāṇe nukaṃpati |	Then he who with a mind of loving-kindness has compassion for all living beings,
mettaṃ se sabbabhūtesu veraṃ tassa na kenaci ||	having loving-kindness towards all beings, he has no one who is hated.
yassa sabbe ahorātte ahiṃsāya rato mano |	For he who every day and night delights in a mind of non-violence,
yassa sabbe ahorātte bhāvanāya rato mano |	For he who every day and night has a mind that delights in cultivation,
yassa sabbe ahorātte niccaṃ kāyagatā satī |	For he who every day and night constantly has mindfulness of the body,
yo na hanti na ghāteti na jināti na jāpaye |	He who neither kills, nor has killed, conquers, nor has conquered,
na hi vereṇa verāṇi śāmantīha kadācanaṃ |	For not by hatred do hatreds cease at any time in this place,
avereṇa tu śāmaṃti esa dhaṃmo sanātano ||	they only cease with non-hatred, this truth is surely eternal.
pare ca na vijānaṃti vayam ettha jayāmatha |	The others do not understand that we should be successful here,
ye ca tattha vijānaṃti tato śāṃmaṃti medhakā ||	but for those here who do understand, through that, their dissensions do cease.
susukhaṃ vata jīvāmo veriṇesu averiṇo |	Let us live truly happily, without hatred, amongst those who have hatred,
veriṇesu manuṣyesu viharāma averiṇo ||	amongst humans who have hatred let us live without hatred.
susukhaṃ vata jīvāmo ussukesu anussukā |	Let us live truly happily, without longing, amongst those who are longing,
ussukesu manuṣyesu viharāma anussukā |	amongst humans who are longing let us live without longing.
susukhaṃ vata jīvāmo yesaṃ no nāsti kiṃcanaṃ |	We live truly happily enough having no possessions ourselves,
sakiñcanesu manuṣyesu viharāma akiṃcanā ||	amongst those with possessions let us live having no possessions.
yathā bubbudakaṃ paśśe yathā paśśe marīcikaṃ |	One should see it as a bubble, one should see it as a mirage,
evaṃ lokaṃ avecchānam maccurājā na paśśati ||	looking on the world in this way the King of Death does not see one.
parijinnam idaṃ rūpaṃ roganīḍaṃ prabhaṃguraṃ |	This body is worn out, a nest of disease, perishing,
bhijjīhiti pūtisaṃdeho maraṇāttaṃ hi jīvitaṃ ||	the putrid body comes to destruction, for life ends in death.
jihmaṃ ca driṣṭā dukhitaṃ ca vyādhitaṃ pretañ ca driṣṭā na cirassa mānavo |	Having seen an old man, one afflicted and sick, having seen one deceased, after not long for the student,
saṃvego tīppe (?) vipulo (?) ajāyatha acchecchi dhīro gṛhibandhanāni ||	anxiety, sharp and extensive, arose, and the wise one cut the household bonds.
khāntivarggaḥ	The Chapter about Patience
asajjhāyamalāvedā anuṭṭhāṇamalā gharā |	Lack of repetition is the ruin of the Vedā, a lack of maintenance is the ruin of homes,
malo vaṇṇassa kosajjaṃ pramādo rakkhatāṃ malo ||	indolence is the ruin of one’s appearance, heedlessness is the ruin of those on guard.
malo istiye duccaritaṃ maccheraṃ dadatāṃ malo |	Bad conduct is a woman’s stain, stinginess is a giver’s stain,
malo pāpāni kaṃmāṇi assiṃ loke paramhi ca ||	wicked deeds are a stain both in this world and in the next.
tato malataraṃ brūmi avijjā maraṇaṃ malaṃ |	I say there is a stain worse than that, ignorance is a deadly stain,
ete male prahattāna niṃmalā caratha bhikkhavo ||	after abandoning those stains, live without stains, monastics!
ayasā tu malo samuṭṭhito tato uṭṭhāya tam eva khādati |	As a rust stain arises from iron, and arisen from that, it eats it away,
em eva vidhūnacāriyaṃ sakāni kaṃmāṇi nayanti doggatiṃ ||	so with one who is overindulgent—his deeds lead him to a bad destiny.
pāṇḍupalāśo ca dāni si yamapuruṣā pi ca te upaṭṭhitā |	You are now a withered leaf, Yama’s men stand waiting for you,
uyyogamukhe ca tiṣṭhasi pātheyaṃ pi ca te na vijjati ||	you stand at decay’s door, with no provisions for the journey found.
uyyamassa ghaṭassa āttanā kaṃmāro rajataṃ va niddhame |	You should strive and endeavour by yourself, like a smith, you should remove the stain,
niddhāntamalo anaṅgano bitiyaṃ ariyabhūmim esi ||	removing the stain, blemishless, you seek the second noble realm.
anupūrvveṇa medhāvī thokathokaṃ khaṇe khaṇe |	The sage gradually, little by little, moment by moment,
kammāro rajatasseva niddhame malam āttano ||	should remove the stain from himself, like a smith removes the stain from silver.
sujīvaṃ ahirīkena saṃkiliṣṭan tu jīvati |	Life is light for one without shame, he lives a life with defilements,
prakkhaṇḍinā pragabbheṇa kākaśūreṇa dhansinā ||	backbiting and recklessness, with the bold courage of a crow.
hirīmatā tu dujjīvaṃ niccaṃ śucigaveṣiṇā |	Life is hard when endowed with shame, for the one constantly seeking purity,
alīnenāpragabbheṇa śuddhājīvena paśśatā ||	for one sincere, and not reckless, looking for purity of life.
supaśśaṃ vajjaṃ aṃñesaṃ āttano puna duddaśaṃ |	Easy to see are others’ fault, but one’s own is hard to see,
paresām iha vajjāni uppunāti yathā busaṃ |	for one sifts other peoples’ faults like they were chaff,
āttano puna chādeti kalim va kṛtavāṃ śaṭho ||	but conceals one’s own faults, like a crafty player conceals his defeat.
sukarāṇi asādhūni āttano ahitāni ca |	Easily done are things not good, and unbeneficial for oneself,
yaṃ ve hitaṃ ca sādhuñ ca taṃ ve paramadukkaraṃ ||	but that which is beneficial and good is supremely hard to do.
yāni hitāni sādhūni tāni kurvvanti paṇḍitā ||	but only those beneficial and good are done by the wise.
alajjitavve lajjanti lajjitavve na lajjatha |	They are ashamed of what is not shameful, not ashamed of what is shameful,
abhaye bhayadaṃśāvī bhaye cābhayadaṃśino |	seeing fear in what is not fearful, not seeing fear in what is fearful,
micchadṛṣṭisamādānā sattā gacchanti doggatiṃ ||	undertaking wrong views, beings go to a bad destiny.
avajje vajjamatino vajje cāvajjasaṃñino |	Finding blame in what is blameless, not perceiving blame in what is blameable,
asāre sāramatino sāre cā ’sārasaṃñino |	Finding the essential in the unessential, and perceiving the unessential in the essential,
te sāran nādhigacchanti micchasaṃkappagocarā ||	they do not understand what is the essential, and resort to wrong intention.
sārañ ca sārato ññāttā asārañ ca asārato |	Knowing the essential in what is essential, and the unessential in what is unessential,
te sāram adhigacchanti saṃmasaṃkappagocarā ||	they understand what is essential, and resort to right intention.
ayoge yuñjiyāttānaṃ yogamhi ca ayuṃjiya |	Engaging oneself in what is not suitable, not engaging in what is suitable,
atthaṃ hettā priyaggrāhī pṛhayantatthānuyogināṃ ||	abandoning the good, grasping the loved, they envy those who endeavour for good.
malavarggaḥ	The Chapter about Stains
