.o namaḥ śrīsarvabuddhabodhisattvebhyaḥ /	Om! Adoration to all Buddhas and Bodhisattvas!Introduction Introductory Stanzas.
kṛtopacārasatkāraśca tadrūpaśobhāpahṛtamanāstatropaviveśa /	After being received with due respect, he sat down in that place, absorbed in the contemplation of the prince's beautiful figure.
iti sa mahāsattvo yauvanānuvṛttyā puṇyasamṛddhiprabhāvopanataṃ krīḍāvidhimanubhavaṃstadāgamanādutpannabahumāna eva tasmin brāhmaṇe subhāṣitaśravaṇādanavāptāgamanaphale sahasaivotpatitaṃ gītavāditrasvanoparodhi krīḍāprasaṅgajanitapraharṣopahantṛ pramadājanabhayaviṣādajananaṃ kolāhalamupaśrutya jñāyatāṃ kimetaditi sādaramantaḥpurāvacarān samādideśa /	So the Great Being, Professor Kern writes to me, that lulita in the printed text ought to be changed into lalita, the reading of the.. Before the Brāhman could reap the profit of his coming by reciting some well-turned sentences, there suddenly arose a confused noise, checking the sounds of song and music, destroying the merriment of the company engaged in playful occupation, and rousing fear and anxiety in the females. On hearing this uproar, he kindly bade the guardians of his harem inquire about the matter. Then his doorkeepers hastily went to him, alarmed and with saddened faces expressive of their fear and anxiety.
athāsya dauvārikā bhayaviṣadadīnavadanāḥ sasaṃbhramaṃ drutataramupetya nyavedayanta-eṣa sa deva puruṣādaḥ kalmāṣapādaḥ saudāsaḥ sākṣādivāntako naraśatakadanakaraṇaparicayādrākṣasādhikakrūrataramatiratimānuṣabalavīryadarpo rakṣaḥpratibhayaraudramūrtimūrtimāniva jagatsaṃtrāsa ita evābhivartate /	They reported to him: Your Majesty, this is the man-eater Kalmāṣapāda, the son of Sudāsa, the cruel disposition of whose mind exceeds even that of the Rākṣasas. It is he, who, as if he were an incarnation of the God of Death, is in the habit of destroying hundreds of men. Looking terrible and dreadful like a Raksas, that embodied Terror of the World, so to speak, of superhuman strength, vigour, and insolence is coming up to this very place. Our guards are dispersed.
vidrutaṃ ca nastatsaṃtrāsagrastadhairyamudbhrāntarathaturagadviradavyākulayodhaṃ balam /	Terror has devoured the courage of the warriors, consternation has dissolved their ranks, and put also the chariots, horse, and elephants into disorder.
kālāntareṇa ca kumāraṃ prasuṣuve / sa vanacarairgṛhītaḥ sudāsāyopanītaḥ / aputro 'hamiti ca kṛtvā sudāsena saṃvardhitaḥ /	Some foresters took up that boy, and brought him to Sudāsa, who being childless, brought him up as his son, and when he passed away to the city of the Celestials, left him as his successor.
pitari ca surapuramupagate svaṃ rājyaṃ pratilebhe / sa mātṛdoṣādāmiṣeṣvabhisaktaḥ /	So he came to the possession of his legitimate royal dignity, but by the fault of his maternal origin he was fond of raw flesh.
idamidaṃ rasavaraṃ māṃsamiti sa mānuṣaṃ māṃsamāsvādya svapaurāneva ca hatvā hatvā bhakṣayitumupacakrame /	Once having tasted human flesh and liking its relish surpassing any other flesh, he commenced to kill and eat the very inhabitants of his capital.
atha paurāstadvadhāyodyogaṃ cakruḥ /	Then the townsmen prepared to put him to death.
yato 'sau bhītaḥ saudāso nararudhirapiśitabalibhugbhyo bhūtebhya upaśuśrāva-asmātsaṃkaṭānmukto 'haṃ rājñāṃ kumāraśatena bhūtayajñaṃ kariṣyāmīti /	The son of Sudāsa, being afraid of them, made this promise to the goblins who are wont to enjoy offerings of human flesh and blood: If am saved from this peril, will perform a sacrifice of one hundred royal princes to the goblins. So he was saved from that peril of his life.
prasahya prasahya cānena rājakumārāpaharaṇaṃ kṛtam / so 'yaṃ devamapyapahartumāyātaḥ /	And now he carried off by force many, many royal princes, and he is also come here in order to carry away Your Majesty, too.
śrutvā devaḥ pramāṇamiti // atha sa bodhisattvaḥ pūrvameva viditaśīladoṣavibhramaḥ saudāsasya kāruṇyāttacikitsāvahitamatirāśaṃsamānaścātmani tacchīlavikṛtapraśamanasāmarthyaṃ priyākhyāna iva ca saudāsābhiyānanivedane prītiṃ pratisaṃvedayanniyatamityuvāca-	You have heard the matter; we await your orders, Your Majesty. Now the Bodhisattva, who was formerly aware of the aberration of mind of the son of Sudāsa and his wicked behaviour, felt compassion for him. So he set his mind on the design of curing him; and since he trusted himself to possess the qualities adapted to the extinction of the monstrous abnormality of his conduct, the information about Sudāsa's son drawing near, like welcome news, made him feel the sense of gladness.
rājyāccyute 'sminnaramāṃsalobhādunmādavaktavya ivāsvatantre / tyaktasvadharme hatapuṇyakīrtau śocyāṃ daśāmityanuvartamāne //	This man who, dispossessed from his royalty because of his fondness for human flesh, acts like a madman utterly unable to govern himself, having left his royal duties and destroyed his (former) good repute and merit, such a person, suppose, is in a state deserving commiseration.
ko vikramasyātra mamāvakāśa evaṃgatādvā bhayasaṃbhramasya / ayatnasaṃrambhaparākrameṇa pāpmānamasya prasabhaṃ nihanmi //	This being so, what opportunity is there for me to use force now, or what room for alarm and fear from the side of such a one? Rather will utterly destroy his wickedness without employing effort, violence, and force.
gatvāpi yo nāma mayānukampyo madgocaraṃ sa svayamabhyupetaḥ / yuktaṃ mayātithyamato 'sya kartumevaṃ hi santo 'tithiṣu pravṛttāḥ //	And now this man who would deserve commiseration from my side, if even he went away from me, comes himself to the place where am staying. For this reason it befits me to show him hospitality.
tadyathādhikāramatrāvahitā bhavantu bhavantaḥ /	For it is in this way that the virtuous act towards guests.
iti sa tānantaḥ purāvacarānanuśiṣya viṣādavipulatarapāriplavākṣamāgadgadavilulitakaṇṭhaṃ mārgāvaraṇasodyamamāśvāsanapūrvakaṃ vinivartya yuvatijanaṃ yatastatkolāhalaṃ tataḥ prasasāra /	And turning to his female life guards, who with eyes great and bewildered with anxiety and with throats almost choked by agitation, prepared to bar the way of the monster, he made them desist from that purpose, addressing them with comforting words, and went forward in the direction of that alarming noise.
dṛṣṭvaiva ca vyāyatābaddhamalinavasanaparikaraṃ valkalapaṭṭaviniyataṃ reṇuparuṣapralambavyākulaśiroruhaṃ prarūḍhaśmaśrujālāvanaddhāndhakāravadanaṃ roṣasaṃrambhavyāvṛttaraudranayanamudyātāsicarmāṇaṃ saudāsaṃ vidravadanupatantaṃ rājabalaṃ vigatabhayasādhvasaḥ sasmājuhāva ayamahamare sutasomaḥ /	And he saw his royal army dispersed and in flight, pursued by the son of Sudāsa, whose appearance was dreadful. His soiled garments, loosely kept together with a girdle, hung around his body; his hair dressed with a diadem of bark and coarse with dust, was dishevelled and hanging down his face wholly covered with a thick, rugged beard. The prince fearless and free from anxiety, called out to him: Hallo, here am,, Sutasoma.
ita eva nivartasva /	Turn to me.
kimanena kṛpaṇajanakadanakaraṇaprasaṅgeneti / tatsamāhvānaśabdākalitadarpastu saudāsaḥ siṃha iva tato nyavartata / nirāvaraṇapraharaṇamekākinaṃ prakṛtisaumyadarśanamabhivīkṣya ca bodhisattvamahamapi tvāmeva mṛgayāmītyuktvā nirviśaṅkaḥ sahasā saṃrambhadrutataramabhisṛtyainaṃ skandhamāropya pradudrāva /	Why are you troubling yourself to assail those poor people? These words of challenge stirred the pride of the son of Sudāsa, and turning from thence like a lion, he perceived the Bodhisattva (waiting for him) alone, unarmed, and placidly looking according to his nature. On seeing him he exclaimed, You are the very man am seeking, and at once without delay went hastily and with impetuosity to him, and placing him on his shoulder ran off.
bodhisattvo 'pi cainaṃ saṃrambhadarpoddhatamānasaṃ sasaṃbhramākulitamatiṃ rājabalavidrāvaṇāduparūḍhapraharṣāvalepaṃ sābhiśaṅkamavetya nāyamasyānuśiṣṭikāla ityupekṣāṃcakre /	And the Bodhisattva, considering with solicitude that his mind was still troubled with agitation, and his heart infatuated by wrath and arrogance kindled by the insolence of his rejoicing at the royal forces. put to flight, thought it was no proper time now for admonition, and persisted in his attitude of unconcern.
saudāso 'pyabhimatārthaprasiddhyā paramiva lābhamadhigamya pramuditamanāḥ svamāvāsadurgaṃ praviveśa /	On the other hand, the son of Sudāsa having obtained his wish and thinking to have made a capture of importance, entered much rejoiced the stronghold where he had his residence.
hatapuruṣakalevarākulaṃ rudhirasamukṣitaraudrabhūtalam / puruṣamiva ruṣāvabhartsayatsphuṭadahanairaśivaiḥ śivārutaiḥ // gṛdhradhvāṅkṣādhyāsanarūkṣāruṇaparṇaiḥ kīrṇaṃ vṛkṣairnaikacitādhūmavivarṇaiḥ /	That unholy dwelling, when appearing from afar to the eyes of the travellers, caused them to be frozen with horror; for it offered an aspect as dreadful as the dancing-place of giants and spectres. It was encumbered with corpses of slain men, and wet with blood horribly moistening its ground; it seemed to threaten In other words, ‘as dreadful as a cemetery.
samavatārya ca tatra bodhisattvaṃ tadrūpasaṃpadā vinibadhyamānanayanaḥ pratataṃ vīkṣamāṇo viśaśrāma //	Having set down the Bodhisattva in that place, he took his rest for a while, his eyes intently fixed on the face of his victim, charmed as he was by his exceeding beauty.
atha bodhisattvasya subhāṣitopāyanābhigataṃ brāhmaṇamakṛtasatkāraṃ tadudyānavinivartanapratīkṣiṇamāśāvabaddhahṛdayamanusmṛtya cintā prādurabhūt-kaṣṭaṃ bhoḥ /	Meanwhile the Bodhisattva remembered that poor Brāhman who had come to him in order to get some present for his sentences, whom he had not yet paid the due honour, and who must still be waiting for his return to the gardens with hope in his heart. And this thought entered in his mind: Alas! ho!.
subhāṣitopāyanavānāśayā dūramāgataḥ / sa māṃ hṛtamupaśrutya vipraḥ kiṃ nu kariṣyati //	That Brāhman came to me from afar, bringing to me the present of his sentences and filled with hope. What will he do now on hearing of my capture?.
āśāvighātāgniparītacetā vaitānyatīvreṇa pariśrameṇa / viniśvasiṣyatyanuśocya vā māṃ svabhāgyanindāṃ pratipatsyate vā // iti vicintayatastasya mahāsattvasya tadīyaduḥkhābhitaptamanasaḥ kāruṇyaparicayādaśrūṇi prāvartanta /	Afflicted with a burning sorrow on account of the destruction of his hope, and vexed with fatigue felt the keener because of his despair, he will either sigh, commiserating my fate, or chide his own destiny. While the Great Being was reflecting in this manner, and his mind accustomed to commiserate (the sufferings of others) was sore with grief on account of that Brāhman, tears welled up in his eyes.
atha saudāsaḥ sāśrunayanamabhivīkṣya bodhisattvaṃ samabhiprahasannuvāca-mā tāvadbhoḥ /	The son of Sudāsa, seeing those tears, began to laugh aloud, and said: Do leave off.
dhīra ityasi vikhyātastaistaiśca bahubhirguṇaiḥ /	You are renowned for your wisdom proved by many different virtues.
atha cāsmadvaśaṃ prāpya tvamapyaśrūṇi muñcasi //	But having come into my power, you too shed tears!.
āpatsu viphalaṃ dhairyaṃ śoke śrutamapārthakam /	In calamities constancy has no effect, and in sorrow learning is of no use.
na hi tadvidyate bhūtamāhataṃ yanna kampate //iti /	No being is to be found, indeed, who does not shake, when stricken.
tatsatyaṃ tāvadbrūhi-	Therefore, tell me the truth.
prāṇān priyānatha dhanaṃ sukhasādhanaṃ vā bandhūnnarādhipatitāmathavānuśocan / putrapriyaṃ pitaramaśrumukhān sutān vā smṛtveti sāśrunayanatvamupāgato 'si // bodhisattva uvāca-	Do you bewail your life dear to yourself, or your wealth, the instrument of pleasures, or your relations, or perhaps your royal rank? Or is it the recollection of your father who loves his son so much, or that of your own children who now weep for you, which makes these tears burst from your eyes? The Bodhisattva said:.
na prāṇān pitarau na caiva tanayān bandhūnna dārānna ca naivaiśvaryasukhāni saṃsmṛtavato bāṣpodgamo 'yaṃ mama /	It is not the thought either of my life or my parents, children, relatives, and wives, or the recolllection of the pleasures of royalty, that moves me to tears; but some Brāhman who came to me hopeful, relying on the well-said sentences he brings with him.
āśāvāṃstu subhāṣitairabhigataḥ śrutvā hṛtaṃ māṃ dvijo	Forsooth, hearing that have been carried off, he must grieve with despair.
nairāśyena sa dahyate dhuvamiti smṛtvāsmi sāsrekṣaṇaḥ //	This remembered, and hence my eyes are wet with tears.
tasmādvisarjayitumarhasi tasya yāva- dāśāvighātamathitaṃ hṛdayaṃ dvijasya / saṃmānanāmbupariṣekanavīkaromi tasmātsubhāṣitamadhūni ca saṃbibharmi //	For this reason you ought to let me go in order that may refresh the heart of that Brāhman, now distressed with the grief of disappointment, pouring on it the water of honourable reward, and on the other hand, that may take from him the honey of sentences he offers me.
prāpyaivamānṛṇyamahaṃ dvijasya gantāsmi bhūyo 'nṛṇatāṃ tavāpi /	After thus paying my debt to that Brāhman, will come back to you again, that may be also free from debt with respect to.
mā cāpayātavyanayo 'yamasyetyevaṃ viśaṅkākulamānaso bhūḥ /	Do not, however, suspect me, troubling your mind with the thought this may be some contrivance of mine to go off.
anyo hi mārgo nṛpa madvidhānāmanyādṛśastvanyajanābhipannaḥ // saudāsa uvāca-	Men like me, king, follow a way different from that on which other people are wont to walk. The son of Sudāsa spoke:.
idaṃ tvayā hyādṛtamucyamānaṃ śraddheyatāṃ naiva kathaṃcideti /	What you say, as if it were something worth regard, is a thing which utterly exceeds belief.
ko nāma mṛtyorvadanādvimuktaḥ svasthaḥ sthitastatpunarabhyupeyāt //	Who, indeed, being released from the mouth of Death and having recovered his freedom of movement, would go to meet it once more?.
duruttaraṃ mṛtyubhayaṃ vyatītya sukhe sthitaḥ śrīmati veśmani sve / kiṃ nāma tatkāraṇamasti yena tvaṃ matsamīpaṃ punarabhyupeyāḥ // bodhisattva uvāca-kathamevaṃ mahadapi mamāgamanakāraṇamatrabhavānnāvabudhyate? nanu mayā pratipannamāgamiṣyāmīti / tadalaṃ māṃ khalajanasamatayaivaṃ pariśaṅkitum /	If, having passed the danger of death hard to overcome, you are in safety in your brilliant palace, say, what reason does there exist that should induce you to come back here to me? The Bodhisattva spoke: How? Does Your Honour not understand the motive of my returning here, though it is a strong one, to be sure? Have not promised to come back? For this reason, do not suspect me any longer, taking me for an equal of the villain.
sutasomaḥ khalvaham /	Am not Sutasoma?.
lobhena mṛtyośca bhayena satyaṃ satyaṃ yadeke tṛṇavattyajanti /	It is true that some, out of cupidity and fear of death, leave veracity, as if it were a straw.
satāṃ tu satyaṃ vasu jīvitaṃ ca kṛcchre 'pyatastanna parityajanti // na jīvitaṃ yatsukhamaihikaṃ vā satyāccyutaṃ rakṣati durgatibhyaḥ /	But to the virtuous veracity is their property and life; therefore they do not give it up even in distress. Neither life nor the pleasures of this world will preserve from mishap him who has fallen from veracity.
satyaṃ vijahyāditi kastadarthaṃ yaccākaraḥ stutiyaśaḥsukhānām //	Who, then,.
saṃdṛśyamānavyabicāramārge tvadṛṣṭakalyāṇaparākrame vā / śraddheyatāṃ naiti śubhaṃ tathā ca kiṃ vīkṣya śaṅkā tava mayyapīti //	Nevertheless, in a person who is seen walking on the road of sin or in whom there does not appear any effort to lead a holy life, a pious behaviour becomes a matter of disbelief.
tvatto bhayaṃ yadi ca nāma mamābhaviṣya-	Now, what of the kind did you perceive in my person that you should suspect even me?.
tsaṅgaḥ sukheṣu karuṇāvikalaṃ mano vā / vikhyātaraudracaritaṃ nanu vīramānī tvāmudyatapraharaṇāvaraṇo 'bhyupaiṣyam // tvatsaṃstavastvayamabhīpsita eva me syā-	If had really been afraid of you, or if my mind had been attached to pleasures, or my heart were devoid of compassion, do you not think should have met an adversary so famous for his ferocity as you, in full armour and prepared to fight, as becomes one proud of his valour?.
eṣyāmyahaṃ punarapi svayamantikaṃ te	But it may be that did even desire that conversation with you.
nāsmadvidhā hi vitathāṃ giramudgiranti // aha saudāsastadbodhisattvavacanaṃ vikalpitamivāmṛṣyamāṇaścintāmāpede-suṣṭhu khalvayaṃ satyavāditayā ca dhārmikatayā ca vikatthate /	Persons like me, in truth, do not utter an untruth. Now these words of the Bodhisattva irritated the son of Sudāsa, as if they spoke of something fanciful, and he entered upon this reflection: Verily, he does greatly boast of his veracity and righteous behaviour.
tatpaśyāmi tāvadasya satyānurāgaṃ dharmapriyatāṃ ca /	Well then, will see them, both his attachment to truth and his love of righteousness.
kiṃ ca tāvanmamānena naṣṭenāpi syāt? asti hi me svabhujavīryapratāpādvaśīkṛtaṃ śatamātraṃ kṣatriyakumārāṇām / tairyathopayācitaṃ bhūtayajñaṃ kariṣyāmīti vicintya bodhisattvamuvāca-tena hi gaccha /	What matters his loss to me, after all? have already my full number of one hundred royal princes whom subdued by the overwhelming strength of my arm; with them may perform my sacrifice to the goblins according to my desire. After thus considering, he said to the Bodhisattva: Well then, go.
drakṣyāmaste satyapratijñatāṃ dhārmikatāṃ ca /	We wish to see your faithfulness in keeping your promise and your righteousness..
gatvā kṛtvā ca tasya tvaṃ dvijasya yadabhīpsitam / śīghramāyāhi yāvatte citāṃ sajjīkaromyaham //27+ // atha bodhisattvastathetyasmai pratiśrutya svabhavanamabhigataḥ pratinandyamānaḥ svena janena tamāhūya brāhmaṇaṃ tasmādgāthācatuṣṭayaṃ śruśrāva /	Go, and having done for that Brāhman what he longs for, return soon; meanwhile will dress your funeral pile. And the Bodhisattva promised him he would do so. Then he set out for his palace, where he was welcomed by his household. Having sent for that Brāhman, he learnt from him a tetrad of gathās.
tacchrutvā subhāṣitābhiprasāditamanāḥ sa mahāsattvaḥ saṃrādhayan priyavacanasatkārapuraḥsaraṃ sāhasrikīṃ gāthāṃ kṛtvā samabhilaṣitenārthena taṃ brāhmaṇaṃ pratipūjayāmāsa /	The Great Being, to whom the hearing of those well-said sentences procured an intense gladness, praised the Brāhman with kind words and marks of honour, and valuing each gāthā at the rate of one thousand (pieces of gold), rewarded him with the wealth so much desired for.
athainaṃ tasya pitā asthānātivyayanivāraṇodyatamatiḥ prastāvakramāgataṃ sanunayamityuvāca-tāta subhāṣitapratipūjane sādhu mātrāṃ jñātumarhasi /	Now his father, intending to avert him from expenses out of place and extravagant, availed himself of this opportunity, and admonished his son in friendly terms.
mahājanaḥ khalu te bhartavyaḥ, kośasaṃpadapekṣiṇī ca rājaśrīḥ /	My dear, he said, when you reward well-said sentences, you should know the limit, should you not? You have to maintain a large retinue; besides, the splendour of kings depends on the affluence of their treasury.
ataśca tvāṃ bravīmi-	For this reason tell you this.
śatena saṃpūjayituṃ subhāṣitaṃ	Rewarding a well-said sentence with one hundred is very high estimation.
paraṃ pramāṇaṃ na tataḥ paraṃ kṣamam /	It is not fit to exceed this limit.
atipradāturhi kiyacciraṃ bhaveddhaneśvarasyāpi dhaneśvaradyutiḥ //	If a man, however wealthy, be too liberal, he will never retain the splendour of his riches for long.
samarthamarthaḥ paramaṃ hi sādhanaṃ na tadvirodhena yataścaretpriyam /	Wealth is the chief instrument of success and an effective one; for no pleasure is attainable in defiance of Wealth.
narādhipaṃ śrīrna hi kośasaṃpadā vivarjitaṃ veśavadhūrivekṣate // bodhisattva uvāca-	Fortune, indeed, like a harlot, disregards a king who lacks an abundant treasury. The Bodhisattva spoke:.
arghapramāṇaṃ yadi nāma kartuṃ śakyaṃ bhaveddeva subhāṣitānām /	If it were at all possible to settle a limit to the value of well said sentences, Your Majesty, would not incur your.
śrutvaiva yannāma manaḥ prasādaṃ śreyonurāgaḥ sthiratāṃ ca yāti / prajñā vivṛddhyā vitamaskatāṃ ca krayyaṃ nanu syādapi tastvamāṃsaiḥ //	Verily, such sayings by hearing which a man gains placidity of mind, his love for salvation is strengthened, and the darkness (of ignorance) disappears (from his intellect) by the increase of his wisdom ought they not to be bought even at the price of one's own flesh?,.
dīpaḥ śrutaṃ mohatamaḥ pramāthī caurādyahāryaṃ paramaṃ dhanaṃ ca / saṃmohaśatruvyathanāya śastraṃ nayopadeṣṭā paramaśca mantrī // āpadgatasyāpyavikāri mitramapīḍanī śokarujaścikitsā / balaṃ mahaddoṣabalāvamardi paraṃ nidhānaṃ yaśasaḥ śriyaśca //	Holy texts are a light which destroys the darkness of delusion (moha); they are the highest wealth, a wealth beyond the reach of thieves and the rest; the weapon to hurt that enemy whose name is infatuation; the best counsellor and adviser as to a man's course of conduct; an unalterable friend even in time of distress; the painless medicine of the disease called sorrow; a mighty army strong enough to crush the army of vices; the highest treasure of glory and bliss.
parapravādadyutibhāskarasya spardhāvatāṃ kīrtimadāpahasya //	Moreover, the splendid possession of holy texts (Śruti) is also the principal cause of eloquent speech.
prasannanetrānanavarṇarāgairasaṃskṛtairapyatiharṣalabdhaiḥ / saṃrādhanavyagrakarāgradeśairvikhyāpyamānātiśayakramasya //	When meeting with virtuous persons, this possession affords the opportunity of making a present of great value; in the assemblies it conciliates the favour of the learned; in disputes and controversies it casts its light like the sun, and destroys the arrogance and fame of envious adversaries.
vispaṣṭahetvarthanidarśanasya vicitraśāstrāgamapeśalasya /	Further it enables its possessor to demonstrate a matter with plain argument and in a graceful way, owing to his quotations from manifold treatises and sacred books.
mādhuryasaṃskāramanoharatvādakliṣṭamālyaprakaropamasya // vinītadīptapratibhojjvalasya prasahya kīrtipratibodhanasya /	By its softness, its culture, and its loveliness, eloquence may be compared to a string of unfaded garlands or to the blazing lustre of a tempered lamp and (finally) it forcibly gains glory for its owner.
vāksauṣṭhavasyāpi viśeṣaheturyogātprasannārthagatiḥ śrutaśrīḥ //	So making use of sacred texts is a pleasant way to success.
śrutvā ca vairodhikadoṣamuktaṃ trivargamārgaṃ samupāśrayante / śrutānusārapratipattisārāstarantyakṛcchreṇa ca janmadurgam //	And those who have heard them will betake themselves to the road leading to the threefold prosperity, and free of obstructing vices; and conforming their behaviour to the precepts imported by those texts, and making it excellent, they will easily cross the dangerous passage through existences.
guṇairanekairiti viśrutāni prāptānyahaṃ prābhṛtavacchrutāni /	For so many excellent properties holy texts are famous.
śaktaḥ kathaṃ nāma na pūjayeya- mājñāṃ kathaṃ vā tava laṅghayeyam //	Now then, having got them like a present, how should, being able to reward the giver of them, not honour him in return? Or, (on the other hand,) how should transgress your order?.
yāsyāmi saudāsasamīpamasmādartho na me rājyapariśrameṇa / nivṛttasaṃketaguṇopamarde labhyaśca yo doṣapathānuvṛttyā //	do not want either the toil of royalty or that other anxiety should incur by following the way of wickedness, if were to transgress my duty of keeping my engagement to come back. read vinītadīpapratibhojjvalasya..
dviṣantaste saudāsavaśaṃ gamiṣyanti / athāpi pratijñātaṃ tvayā tatsamīpopagamanam, ataḥ satyanurakṣī tatsaṃpādayitumicchasi, tadapi te nāhamanujñāsyāmi /	You must not take offence at it, will you? May your enemies come into the power of the son of Sudāsa! In fact, you made him the promise to return to him, and for this reason you, being wont to keep your faith, wish to accomplish your promise. Nevertheless, will not allow it.
apātakaṃ hi svaprāṇaparirakṣānimittaṃ gurujanārthaṃ cānṛtamārgo vedavihita iti /	No sin is incurred, truly, by following the way of untruth if one may thereby save one's own life and also for the sake of one's parents and other venerable persons.
tatparihāraśrameṇa tava kor 'thaḥ? arthakāmābhyāṃ ca virodhidṛṣṭaṃ dharmasaṃśrayamanayamiti vyasanamiti ca rājñāṃ pracakṣate nītikuśalāḥ /	Why should you exert yourself to avoid this precept, which is prescribed by the Veda? Besides, those who are skilled in the science of politics proclaim the attachment to righteousness (dharma) in such cases as where it evidently causes damage to material interests (artha) and pleasures (kāma), to be mismanagement and an evil habit in kings.
tadalamanenāsmanmanastāpinā svārthanirapekṣeṇa te nirbandhena /	No more, then, of that determination, wherewith you grieve my heart and disregard your own interest.
athāpyayaśasyaṃ mārṣa dharmavirodhi ceti pratijñāvisaṃvādanamanucitatvānna vyavasyati te matiḥ, evamapīdaṃ tvadvimokṣaṇārthaṃ samudyuktaṃ sajjameva no hastyaśvarathapattikāyaṃ saṃpannamanuraktaṃ kṛtāstraśūrapuruṣamanekasamaranīrājitaṃ mahanmahaughabhīmaṃ balam /	But you will object, my dear, that acting thus is dishonourable and in contradiction to righteousness, and that it is for this reason you cannot decide to break your promise, having never been accustomed to do anything like this. Yet, why should you break your promise? Here have an army of footmen, chariots, horse, and elephants, prepared for war, and ready to march to your rescue. They make up an excellent body of warriors attached to your person, yea, a legion of heroes skilled in arms and having distinguished themselves in many battles.
tadanena parivṛtaḥ samabhigamyainaṃ vaśamānaya, antakavaśaṃ vā prāpaya /	Well, come to him, surrounded by that army, and bring him either to submission or to death.
evamavyarthapratijñatā saṃpāditā syādātmarakṣā ceti /	In this manner you will have fulfilled your promise and at the same time saved your life..
api ca /	Moreover,.
duṣkaraṃ puruṣādo 'sāvudāraṃ cākaronmayi / madvacaḥpratyayādyo māṃ vyasṛjadvaśamāgatam //	That man-eater performed for me something generous and difficult to be done (by others), since he dismissed me out of his power, relying on my faith.
labdhaṃ tatkāraṇāccedaṃ mayā tāta subhāṣitam / upakārī viśeṣeṇa so 'nukampo mayā yataḥ //	So it is thanks to him that got those holy stanzas, father. For this reason he is my benefactor, and is especially entitled to be an object of my commiseration.
alaṃ cātra devasya madatyayāśaṅkayā /	Cease also to be afraid of any misfortune threatening me, Your Majesty.
kā hi tasya śaktirasti māmevamabhigataṃ vihiṃsitumiti /	How should he be capable of injuring me when come back to him, as went? So speaking the High-minded One persuaded his father to give him leave.
evamanunīya sa mahātmā pitaraṃ vinivāraṇasodyamaṃ ca vinivartya praṇayijanamanuraktaṃ ca balakāyamekākī vigatabhayadainyaḥ satyānurakṣī lokahitārthaṃ saudāsamabhivineṣyaṃstanniketamabhijagāma //	Then declining the entreaties of his friends and his faithful army, who were eager to prevent his going away, he set out for the dwelling of the son of Sudāsa, alone and free from fear and sadness, for he was keeping his faith, and marched with the aim of softening his heart, to the happiness of men.
dūrādevāvalokya saudāsastaṃ mahāsattvamativismayādabhivṛddhabahumānaprasādaścirābhyāsavirūḍhakrūratāmalinamatirapi vyaktamiti cintāmāpede-ahahahaha /	As soon as the son of Sudāsa saw the Great Being approaching from afar, he became exceedingly astonished, and his esteem and liking for him increased. Not even his cruelty, however long practised and deep rooted in his defiled mind, could prevent him from entering, indeed, upon a thought like this: Ah! Ah!!!.
āścaryaṇāṃ batāścaryamadbhutānāṃ tathādbhutam / satyaudāryaṃ nṛpasyedamatimānuṣadaivatam //	This is the wonder of wonders, to be sure, the marvel of marvels! That prince's lofty veracity exceeds all that may be expected of men and deities!.
mṛtyuraudrasvabhāvaṃ māṃ vinītabhayasaṃbhramaḥ / iti svayamupeto 'yaṃ hī dhairyaṃ sādhu satyatā //	To me, a person as cruel-natured as Death, he comes back of himself, subduing fear and anxiety! Ah! What a constancy! Bravo for his veracity!.
iti prāṇān svarājyaṃ ca satyārthaṃ yo 'yamatyajat // atha bodhisattvaḥ samabhigamyainaṃ vismayabahumānāvarjitamānasamuvāca-	Justly, indeed, the renown of his truth-speaking is wide spread, as he now gave up his life and royal state to keep his faith! While he was thus affected with amazement and admiration, the Bodhisattva drew near, saying:.
prāptaṃ subhāṣitadhanaṃ pratipūjitor 'thī prītiṃ manaśca gamitaṃ bhavataḥ prabhāvāt / prāptastadasmyamaśāna yathepsitaṃ māṃ	have obtained that treasure of well-said sentences, have rewarded the indigent man who presented me with it, and gladness has been procured to my mind, thanks to you. Now am back here.
yajñāya vā mama paśuvratamādiśa tvam // saudāsa-uvāsa-	Eat me, if such is your desire, or use me as a victim at your sacrifice. The son of Sudāsa spoke:.
nātyeti kālo mama khādituṃ tvāṃ dhūmākulā tāvadiyaṃ citāpi /	am not in a hurry to eat you; moreover, this funeral pile is still smoky, and flesh gets its proper relish only when roasted on a smokeless fire.
vidhūmapakvaṃ piśitaṃ ca hṛdyaṃ śṛṇmastadetāsni subhāṣitāni // bodhisattva uvāca-kastavārtha itthaṃgatasya subhāṣitaśravaṇena?	Let us hear meanwhile these well-said sentences. The Bodhisattva replied: Of what use is it to you, in such a state, to listen to holy sentences?.
imāmavasthāmudarasya hetoḥ prāpto 'si saṃtyaktaghṛṇaḥ prajāsu /	You adopted this mode of living merciless to your subjects for the sake of your belly.
imāśca dharmaṃ pravadanti gāthāḥ sametyadharmeṇa yato na dharmaḥ //	Now these stanzas praise righteousness. Righteousness does not go together with injustice.
rakṣovikṛtavṛttasya saṃtyaktāryapathasya te / nāsti satyaṃ kuto dharmaḥ kiṃ śrutena kariṣyasi //	Following the wicked manner of life of Rākṣasas and having left the way of the pious you do not possess faith, still less righteousness. What will you do with holy texts? This contempt roused the impatience of the son of Sudāsa.
