Vasubandhu: Triṃśikāvijñaptikārikā	Trimsikavijnapti of the Vasubandhu with Bhasya of the acarya Sthiramati
dṛg iti sāmānyanirdeśe 'pi kleśādhikārāt pañcaiva kleśātmikāḥ satkāyadṛṣṭyādikā dṛṣṭayaḥ saṃbadhyante / na laukikī samyagdṛṣṭir anāsravā vā / āsāṃ tu kliṣṭanitīraṇākāratvād aviśeṣe 'py ālambanākārabhedāt parasparato bhedaḥ /	In the text there is the general term opinion; but since the kleśas are dealt with here, only such opinions whose essence is kleśa, such as the erroneous belief in the permanence of a self, come into consideration, not the transcendent correct belief that is not infected by kleśas is.Although they are similar in so far as their form is a defiled view, they are distinguished from one another according to the form of their object.
tatra satkāyadṛṣṭir yat pañcasūpādānaskandheṣv ātmātmīyadarśanam /	The delusion in the permanence of the self consists in seeing the self and its belongings in the five upādānaskandhas.
antagrāhadṛṣṭis teṣv eva pañcasūpādānaskandheṣv ātmātmīyatvena gṛhīteṣu yad ucchedataḥ śāśvatato vā darśanam /	If one has taken the five up. as one's self and that which belongs to him, then the error as to its definitive annihilation or eternity is the error as to the two extremes.
mithyādṛṣṭiḥ /	Wrong belief.
yayā mithyādṛṣṭyā hetuṃ vāpavadati phalaṃ kriyāṃ vā sad vā vastu nāśayati sā sarvadarśanapāpatvān mithyādṛṣṭir ity ucyate / dṛṣṭaparāmarśaḥ pañcasūpādānaskandheṣv agrato viśiṣṭataḥ śreṣṭhataḥ paramataś ca yad darśanam /	nitirana is listed in the Mahävyutpatti between prekşate and vicãrana. Abh. velvetīraṇam punar vişayôpanidhyānapūrvakam niścayâkarşanam. frustrating the success or the action or a positive thing, this is called wrong belief because it is the worst of all errors.Exaltation of error: considering which of the five upādanaskandhas is the first, chief, best, highest.
śilavrataparāmarśaḥ pañcasūpādānaskandheṣu śuddhito muktito nairyāṇikataś ca yad darśanam /	Erroneous contemplation of the commandments: considering which of the five upādānaskandhas is conducive to purity, salvation, and the way of salvation.
vicikitsā / karmaphalasatyaratneṣu vimatiḥ /	Doubt is undecided opinion as to karma, its effects and satyaratna.
vividhā matir vimatiḥ syān na syād iti /	Doubt is the various opinion whether it be or not.
prajñātaś ceyaṃ jātyantaram evoktā /	It is mentioned as a species different from knowledge.
uktāḥ ṣaṭkleśās tadanantaroddiṣṭās tv idānīm upakleśā vaktavyā ity ata āha / krodhopanāhane punaḥ / mrakṣaḥ pradāśa īrṣyātha mātsaryaṃ saha māyayā // 12bcd śāṭhyaṃ mado 'vihiṃsāhrīr atrapā styānam uddhataḥ /	The kleśas are done; now the upakleśas named after them should be listed: anger and resentment, hypocrisy, biting, jealousy, greed, deceit, rascality, intoxication with arrogance, inflicting harm, shamelessness, insolence, self-indulgence, disbelief, sloth, negligence, clouded memory, distraction, wrong thinking, remorse, absent-mindedness, reflection, consideration: these are the u pakleśa; the last two pairs are each double.
tatra krodho vartamānam apakāram āgamya yaś cetasa āghātaḥ / ayaṃ cāghātasvarūpatvāt pratighān na bhidyate /	Anger is the anger of the mind when one has experienced a present offense.Because it is essentially anger, it is not different from hate, but because a special state of hate is so named, it is a sharer of hate.
kiṃ tv asya pratighasyāvasthāviśeṣe prajñaptatvāt pratighāṃśikaḥ / vartamānam apakāram āgamya yaś cetasa āghātaḥ sattvāsattvaviṣayo daṇḍadānādisaṃniśrayadānakarmakaś ca sa krodha iti prajñapyate /	The anger of the mind, having experienced a present insult, is directed towards living and inanimate nairyāṇika; mentioned in Mahävyutpatti, According to the latter passage it seems to belong to the marga. This is to be compared with the discussion about the trairäśya: rāga dveṣa moha in Ns.
upanāho vairānubandhaḥ /	amśika from amsin, one who owns a part.
krodhād ūrdhvaṃ mamānenedam apakṛtam ity asya vairātmakasyānuśayasyānutsargaḥ prabandhena pravartanam upanāhaḥ /	Holding grudges is the persistence of hostility after anger. The hostility existing at the thought of the insult inflicted leaves a residue; if you don't give it up, if it keeps working, then it's 'holding grudges'.
ayañ cākṣāntisaṃniśrayadānakarmakaḥ /	Its effect is that it provides the basis for forbearance.
akṣāntir apakārāmarṣaṇaṃ pratyapakāracikīrṣā ca / ayam api krodhavat pradveṣāvasthāviśeṣe prajñapyate /	This consists in not tolerating an insult and in the desire for retribution.Bearing grudges, like anger, is a term for a special state of hatred.
ataḥ prajñaptisann eva veditavyaḥ /	Therefore it has only nominal authority.
mrakṣa ātmano 'vadyapracchādanā /	Hypocrisy is the hiding of one's sins.
chandadveṣabhayādīn nirākṛtya kāle taddhitaiṣiṇā codakena tat tvam evaṃkārīty anuyuktasya mohāṃśiky avadyapracchādanā mrakṣaḥ /	If one is confronted in time by one concerned with his well-being, putting aside desire, hate, fear, etc., that he has acted in such a way, then the concealing of sin, which is a partaker of ignorance, is the hypocrisy.
mohāṃśikatvaṃ tu mrakṣasya pracchādanākāratvāt /	It is a sharer' of ignorance because it takes the form of concealment.
ayañ ca kaukṛtyāsparśasaṃniśrayadānakarmakaḥ /	Its effect is to provide the basis for regret and unpleasant behavior.
[Tvbh_92] dharmataiṣā yad avadyaṃ pracchādayataḥ kaukṛtyam utpadyate kaukṛtyāc cāvaśyaṃ daurmanasyena saṃprayogād asparśavihāra iti /	This effect results from the fact that when someone hides something, he feels remorse. The unpleasant behavior follows from the fact that the repentance necessarily leads to a bad mood.
caṇḍaṃ vacaḥ pragāḍhaṃ pāruṣyaṃ marmaghaṭṭanayogena /	Biting is 'biting' with violent words. Fierce words are very rough talk.
tadbhāvo dāśitā / ayañ ca bhāvapratyayaḥ svārthikaḥ / caṇḍena vacasā pradaśatīti caṇḍavacodāśitā /	One who tends to 'bite' with injury to sensitivity is called dāśin, whose condition is dāśitā; the word is formed with the svârthika suffix indicating the state.
ayañ ca krodhopanāhapūrvakaś cetasa āghātasvabhāva iti pratighāṃśika eva na dravyato vidyate /	Bitingness consists in an anger of mind preceded by anger and resentment, therefore it is a 'participant' of hate.Krodhâdivat prajnaptita eva na dravyataḥ, it is only nominally, not substantively, entitled.
ayañ ca vāgduścaritaprasavakarmakaḥ / asparśavihārakarmakaś ca tadvataḥ pudgalasya duḥkhasaṃvāsatvāt /	Its effect is that it produces evils in words on the one hand, and unpleasant behavior on the other, because a person afflicted with it is a place of suffering.
īrṣyā parasaṃpattau cetaso vyāroṣaḥ /	Jealousy is the anger of the mind at another's happiness.
lābhasatkārādhyavasitasya lābhasatkārakulaśīlaśrutādīn guṇaviśeṣān parasyopalabhya dveṣāṃśiko 'marṣakṛtaś cetaso vyāroṣa īrṣyā /	When a striving for gain and honor perceives particular advantages in another's gain, honor, noble birth, virtue, knowledge and the like, then out of resentment as a 'participant' of hatred arises anger and that is jealousy.
svam āśrayaṃ vyāpya roṣo vyāroṣaḥ /	Anger that fills its wearer completely is called being angry.
daurmanasyasaṃprayogāt tatpūrvakaś cāsparśavihāra iti daurmanasyāsparśavihārakarmikocyate /	Because it is associated with 'bad temper', it is followed by 'unpleasant behavior'; therefore jealousy is said to produce ill humor and unpleasant conduct.
mātsaryaṃ dānavirodhī cetasa āgrahaḥ / upāttaṃ vastu dharmāmiṣakauśalātmakaṃ yena pūjānugrahakāmyayārthine 'narthine vā dīyate tad dānam /	Famine is a clinging of the mind which prevents bestowal.Giving is that in consequence of which one gives something of one's possessions in the form of religious donation or gifts in an effort to show one's reverence or favor, whether one asks for it or not.
tasmin sati dānābhāvāt tadvirodhīty ucyate /	In such a case, when that giving does not occur, that is what prevents giving the clinging of the mind.
lābhasatkārādhyavasitasya jīvitopakaraṇeṣu rāgāṃśikaś cetasa āgraho 'parityāgecchā mātsaryam /	When a seeker of gain and honor is feels a clinging of the mind, which is a 'partaker' of love in relation to necessaries of life feeling a desire not to renounce anything, that is 'scarcity'.
idaṃ cāsaṃlekhasaṃniśrayadānakarmakam /	Its effect is that it provides the basis for avarice.
asaṃlekhaḥ punar mātsaryeṇānupayujyamānānām apy upakaraṇānāṃ saṃnicayād veditavyaḥ /	This means the accumulation of such things that are not used due to scarcity.
māyā paravañcanāyābhūtārthasaṃdarśanatā /	Deception is the pretense of an untrue thing in order to deceive another.
lābhasatkāradhyavasitasya paravañcanābhiprāyeṇānyathāvasthitasya śīlāder arthasyānyathā prakāśanā /	It consists in a person striving for gain and honour, with the intention of deceiving another, doing something, e.g. B. Virtue, differently from how it really behaves.
iyañ ca sahitābhyāṃ rāgamohābhyām abhūtān guṇān prakāśayatas tayoḥ samuditayoḥ prajñapyata iti krodhādivat prajñaptita eva na dravyata iti mithyājīvasaṃniśrayadānakarmikā	If one in the union of 'love' and 'ignorance' pretends to have non-existent virtues, is 'deceit' a designation for those two in union?Therefore, like anger, etc., it has only a nominal existence, not a substantial one. Its effect is that it provides the basis for untrue living.
śāṭhyaṃ svadoṣapracchādanopāyasaṃgṛhītañ cetasaḥ kauṭilyam /	Mischievousness is the unsteadiness of mind implied in the means of concealing one's faults.
svadoṣapracchādanopāyaḥ paravyāmohanam /	The means of covering up one's own faults is to deceive others.
tat punar anyenānyat pratisaran vikṣipaty aparisphuṭaṃ vā pratipadyate /	But rascality consists in taking something away with someone else, or admitting it in a vague way.
ata eva śāṭhyaṃ mrakṣād bhidyate /	That is why roguery differs from hypocrisy.
sa hi sphuṭam eva pracchādayati na kākvā / idam api	The latter covers something directly, not with a false appearance.
lābhasatkārādhyavasitopāyābhyāṃ rāgamohābhyāṃ svadoṣapracchādanārthaṃ paravyāmohanāya pravartate / tayor eva sahitayoḥ prajñapyate /	And the former engages in the infatuation of others in order to cover up one's own faults with the help of 'love' and 'ignorance', the means of one striving for gain and honor; it is only a designation for those two in union.
idañ ca samyagavavādalābhaparipanthakarmakam /	Their effect is the adversary of attaining right instruction.
samyagavavādasya yo lābho yoniśo manasikāras tasyāntarāyaṃ karoti /	It is an obstacle to the attainment of proper instruction, of thorough attention.
madaḥ svasaṃpattau raktasyoddharṣaś cetasaḥ paryādānam / kulārogyayauvanabalarūpaiśvaryabuddhimedhāprakarṣaḥ svasaṃpattiḥ /	Pride intoxication is the ecstasy of one who is very fond of his virtues, a seizure of the mind.Qualities of one's own are a high degree of nobility of birth, health, youth, strength, dominion, intellect, and wisdom.
uddharṣo harṣaviśeṣaḥ /	Delight is a special kind of joy.
yena harṣaviśeṣeṇa cittam asvatantrīkriyate tena tadātmatantrīkaraṇāt paryāttaṃ bhavatīty etad uktañ cetasaḥ paryādānam iti /	By making the spirit dependent on it, it confiscates it because it makes it dependent on itself; this is called the confiscation of the spirit.
ayañ ca sarvakleśopakleśasaṃniśrayadānakarmakaḥ /	The effect of the intoxication of pride is that it provides the basis for all kleśas and upakleśas.
vihiṃsā sattvaviheṭhanā /	To cause harm is the injury of all living beings.
vividhair vadhabandhanatāḍanatarjanādibhiḥ sattvānāṃ hiṃsā vihiṃsā /	vihimsā is the himsā of living beings through various killing, binding, beating, threatening, etc. By injuring all beings is meant that the beings are harmed by them, because by killing, binding, etc. maybe it makes it unclear?
viheṭhyante 'nayā sattvā vadhabandhanādibhir duḥkhadaurmanasyotpādanād iti sattvaviheṭhanā / sā punaḥ pratighāṃśikī nirghṛṇatā sattveṣu cittarūkṣatā sattvaviheṭhanakarmikā vihiṃsety ucyate /	sarva seems to have fallen out before sattva, see 1 38suffering and sorrow is produced.But inflicting suffering, a partaker of hate, is called cruelty, hard-heartedness towards beings, and has the effect of injuring beings.
āhrīkyaṃ svayam avadyenālajjā /	Shamelessness means that one is not ashamed of one's own sin.
tasmin karmaṇyātmānam ayogyaṃ manyamānasyāpi yāvadyenālajjā sāhrīkyaṃ hrīvipakṣabhūtam /	If one is not ashamed of sin even though he is not guilty of a crime, that is shamelessness, the opposite of 'humility'.
anapatrāpyaṃ parato 'vadyenālajjā /	Impudence means not being ashamed of a sin in front of others.
lokaśāstraviruddham etan mayā kriyata ity evam avagacchato 'pi yā tayā pāpakriyayālajjā sāpatrāpyavipakṣabhūtam anapatrāpyam /	If one sees that he is doing something contrary to common morality and the śāstras, and yet is not ashamed of committing the sin, that is 'impudence', the opposite of fear of bad reputation.
etac ca dvayam api sarvakleśopakleśasāhāyyakarmakam /	These two have in effect commonality with all kleśas and upakleśas.
rāgadveṣamohaprakāreṣu sarvāsatkāryaprabhavahetuṣu rāgadveṣayor ayaugapadyād yathāsaṃbhavaṃ prajñapyate na tu svatantram asti /	Since of the subtypes of 'love', 'hate' and 'ignorance' 'love' and 'hate' do not occur together, but only two, depending on the situation, those two 'shamelessness' and 'impudence' are only one designation for these, but not something independent.
stimitasya bhāvaḥ staimityaṃ yadyogāc cittaṃ jaḍībhavati stimitaṃ bhavati nālambanaṃ pratipattuṃ samutsahate / etac ca sarvakleśopakleśasahāyyadānakarmakam /	Apathy is the unfitness of the mind, its immobility in connection with which the mind becomes rigid, immobile, unable to grasp the object.It has the effect of giving commonality with all kleśas and upakleśas.
mohāṃśe prajñaptatvāc ca mohāṃśikam eva na pṛthag vidyate /	Because it stands as a label for a part of 'ignorance', it is only a part of it and does not specifically exist.
auddhatyaṃ cittasyāvyupaśamaḥ /	Pleasure-seeking is restlessness of the mind.
vyupaśamo hi śamathas tadviruddho 'vyupaśamaḥ /	Calmness is calming, which is opposed to restlessness.
sa punar eṣa rāgānukūlaṃ pūrvahasitarasitakrīḍitādyanusmarataś cetaso 'vyupaśamahetuḥ śamathaparipanthakarmakaḥ /	This has the opposite of calming down, the reason for the restlessness for the earlier laughing, making noise, playing etc., which corresponds to 'love', commemorating.
āśraddhyāṃ karmaphalasatyaratneṣv anabhisaṃpratyayaḥ śraddhāvipakṣaḥ /	Disbelief is denial of the workings of karma and aryaratnas.
śraddhā hy astitvaguṇavattvaśakyatveṣv abhisaṃpratyayaḥ prasādo 'bhilāṣaś ca yathākramam /	For faith is in reference to something being real, good, and possible, belief, clearness of mind and desire.
aśraddhā tadviparyeṇāstitvaguṇavattvaśakyatveṣv anabhisaṃpratyayo 'prasādo 'nabhilāṣaś ca /	'Disbelief' is reversed with respect to the same points: disbelief, vagueness of mind and lack of desire for it.
aśraddadhānasya prayogacchandābhāvāt kausīdyasaṃniśrayadānakarmakatvam / kausīdyaṃ kuśale cetaso 'nabhyutsāho vīryavipakṣaḥ /	Its effect is that it gives the basis for 'moral inertia' because an unbeliever has no desire to engage in good.Moral inertia is the displeasure of the mind to good, the opposite of moral energy;
kuśale kāyavāṅmanaḥkarmaṇi nidrāpārśvaśayanasukham āgamya yo mohāṃśikaś cetaso 'nabhyutsāhaḥ /	it is the mind's reluctance to good thoughts, words, and works when enjoying the bliss of sleeping or lying on one's side, a part of ignorance.
etac ca kuśalapakṣaprayogaparipanthakarmakam /	Their effect is hostile to activity in good.
pramādo yair lobhadveṣamohakausīdyaiḥ kleśād rāgadveṣamohādikāc cittaṃ na rakṣati kuśalaṃ ca tatpratipakṣabhūtaṃ na bhāvayati / teṣu lobhadveṣamohakausīdyeṣu pramādaḥ prajñapyate /	Negligence: if one does not guard against a kleśa, love, hate, ignorance, etc. , because of lust, hatred, ignorance and moral inertia, and does not strive for good, the opposite of that, that is negligence, a special term for lust, hatred, ignorance and moral inertia.
ayañ cākuśalavṛddhikuśalaparihāṇisaṃniśrayadānakarmakaḥ /	Its effect is to provide the basis for evil to increase and good to decrease.
muṣitā smṛtiḥ kliṣṭā smṛtiḥ /	Clouded memory is contaminated memory.
kliṣṭeti kleśasaṃprayuktā /	Contaminated means accompanied by kleśas.
iyañ ca vikṣepasaṃniśrayadānakarmikā /	Its effect is that it provides the basis for distraction.
vikṣepo rāgadveṣamohāṃśikaś cetaso visāraḥ /	Distraction is the distraction of the mind, a part of love, hate or ignorance.
vividhaṃ kṣipyate 'nena cittam iti vikṣepaḥ /	vi-kşepa means that the mind is thereby drawn in various ways.
yai rāgadveṣamohaiś cittaṃ samādhyālambanād bahiḥ kṣipyate teṣu yathāsaṃbhavaṃ vikṣepaḥ prajñapyate /	When through love, hate or ignorance the mind is drawn away from the object of meditation, that is distraction, a special term.This seems to mean astitva gunatva shakyatva.
eṣa ca vairāgyaparipanthakarmaḥ /	Its effect is hostile to turning away from the world vairagya.
asaṃprajanyaṃ kleśasaṃprayuktā prajñā yayāsaṃviditā kāyavākcittacaryā abhikramapratikramādiṣu vartate karaṇīyākaraṇīyājñānāt /	Wrong remembrance asamprajanya is knowledge prajna accompanied by klesas. The exercise of body, speech, and spirit that she does not bring to consciousness is done in terms of transgression, progression, etc. Because one does not know what one may or may not do.
etac cāpattisaṃniśrayadānakarmakam /	Its effect is that it provides the basis for transgression.
kaukṛtyaṃ cetaso vipratisāraḥ /	Repentance kaukrtya is a regret of the mind.
kutsitaṃ kṛtam iti kukṛtam / tadbhāvaḥ kaukṛtyam /	Blameless kutsita doing is kukrta, the abstract of which is kaukrtya.
iha tu kukṛtaviṣayaś cetaso vilekhaḥ kaukṛtyaṃ caitasikādhikārāt / etac ca cittasthitiparipanthakarmakam / middham asvatantravṛtticetaso 'bhisaṃkṣepaḥ /	Here, however, the latter is because it is about something spiritual, the pain of the spirit because of an evil deed. The effect of repentance is hostile to the steadiness of the mind. Absence of mind middha is the elimination of the dependently functioning mind.
vṛttir ālambane pravṛttiḥ /	Functioning vrtti is operation with respect to the object;
sāsvatantrā cetaso yato bhavati tan middham / kāyasandhāraṇāsamarthā vā vṛttiś cetaso 'svatantrā sā yato bhavati tan middham /	that by which this is not practiced independently by the spirit is absent-mindedness.Or a functioning incapable of regulating body and mind is the dependence of the mind; that by which this takes place is absent-mindedness.
abhisaṃkṣepaś cetasaś cakṣurādīndriyadvāreṇāpravṛttiḥ / etac ca mohāṃśe prajñapanān mohāṃśikaṃ kṛtyātipattisaṃniśrayadānakarmakañ ca /	Elimination is the inactivity of the mind by means of the sense organs, sight, etc. Absence of mind is given as a special designation of a part of ignorance, and its effect is to provide the basis for neglect of duty.
vitarkaḥ paryeṣako manojalpaḥ prajñācetanāviśeṣaḥ /	Reflection (vitarka) is a searching speaking of manas (manojalpa), a special kind of will and cognition.
paryeṣakaḥ kim etad iti nirūpaṇākārapravṛttaḥ /	Seeking means: taking place in the form of ascertaining what it is;
manaso jalpo manojalpaḥ /	manojalpa = as it were a speaking of manas.
jalpo 'rthakathanam /	'Talking' is naming the thing.
cetanāprajñāviśeṣa iti cetanāyāś cittaparispandātmakatvāt prajñāyāś ca guṇadoṣavivekākāratvāt /	A special kind of will and knowledge', because will consists in the agitation of the mind and knowledge takes the form of a distinction between merits and demerits.
tadvaśena cittapravṛtteḥ kadācic cittacetanayor vitarkaḥ prajñaptiḥ kadācit prajñācetasor yathākramam anabhyūhābhyuhāvasthayoḥ / atha vā cetanāprajñayor eva vitarkaḥ prajñaptis tadvaśena cittasya tathāpravṛttatvāt /	41kind of will and cognition, 'contemplation' is a special designation sometimes of will and spirit, and sometimes of knowledge and spirit, depending on the state of non-disclosure or that of disclosure.Thinking is a special designation of will and cognition because the spirit operates in that way by virtue of that a special kind of will and cognition.
audārikateti sthūlatā vastumātraparyeṣaṇākāratvāt /	Thinking is grossness of the mind because it has the form of searching for a thing at all.
eṣa ca nayo vicāre 'pi draṣṭavyaḥ / vicāro 'pi hi cetanāprajñāviśeṣātmakaḥ / pratyavekṣako manojalpa eva / idaṃ tad iti pūrvādhigatanirūpaṇāt /	The same way of looking at it is to be applied to consideration, for contemplation also consists in a special kind of will and cognition and is a referential speaking of manas because it states something previously known to be that.
ata eva ca cittasūkṣmatety ucyate /	That is why it is called refinement of mind.
etau ca sparśāsparśavihārasaṃniśrayadānakarmakau / anayoś caudārikasūkṣmatayā vyavasthāpanāt pṛthakkaraṇam /	Reflection and consideration have the effect of providing the basis for both pleasurable and sorrowful behavior. They are distinguished from one another because one is found to be coarse and the other fine.
dvaye dvidheti / (14d) dvayañ ca dvayañ ca dvaye / te punaḥ kaukṛtyamiddhe vitarkavicārau ca /	The two pairs are twofold each, ie on the one hand remorse and absent-mindedness, on the other hand reflection and deliberation.
ete ca catvāro dharmā dvidhā kliṣṭā akliṣṭāś ca /	These four dharmas are twofold contaminated and uncontaminated.
tatrākuśalam akṛtvā kuśalañ ca kṛtvā yaś cetaso vilekhas tat saṃkliṣṭaṃ kaukṛtyam / yat kuśalam akṛtvākuśalañ ca kṛtvā tat kaukṛtyam akliṣṭam /	Repentance is defiled when the mind feels pain at not having done a bad thing and having done a good thing; the regret of not having done something good is not defiled.Absence of mind is also defiled if it is permeated with, accompanied by, defiled mind.
akliṣṭacittāviddham akliṣṭacittasaṃprayuktañ cākliṣṭam /	But in the opposite case it is not defiled.
kāmavyāpādavihiṃsādivitarkāḥ kliṣṭāḥ / naiśkramyādivitarkā akliṣṭāḥ /	Thinking about love affairs, killing, hurting etc. is defiled, the opposite of kāma etc. is not defiled.
evaṃ paropaghātopāyavicāraḥ kliṣṭaḥ /	Likewise, considering the means of harming others is defiled;
parānugrahopāyavicāro 'kliṣṭaḥ /	considering the means of benefiting others is not defiled.
tatra ye kaukṛtyamiddhavitarkavicārāḥ kliṣṭās ta evopakleśā netare /	If the above four dharmas are defiled, they belong to the upakleśas, otherwise they do not.
tatra yathā rūpaśabdādyupalabdhiḥ ṣaṭprakārā yathāsaṃbhavaṃ sarvaiś caitasikaiḥ saṃprayujyate sarvatragair viniyataiḥ kuśalaiḥ kleśair upakleśaiś ca evaṃ trivedanā tisṛbhiś ca	As the sixfold cognition of color, sound, etc. , is accompanied by all mental dharmas, the ever-present, the concrete, the good, the kleśas, and the upakleśas, as appropriate, so it is of three kinds of feeling;
vedanābhiḥ saṃprayujyate sukhayā duḥkhayā aduḥkhāsukhayā ca /	it becomes of pleasant, unpleasant or neither pleasant nor unpleasant feeling.
saumanasyadaurmanasyopekṣāsthānīyeṣu rūpādiṣu tadutpatteḥ kuśalā akuśalā avyākṛtā ca / ālayavijñānan tu sarvatragaiḥ pañcabhir eva saṃprayujyate nānyaiḥ /	As it arises with color etc. , which takes the place of good mood, bad mood and indifference, it is good, bad or neutral.The alayavijnana is accompanied by the five ever-present dharmas, no others; and in him there is the feeling of indifference, which is undisguisedly neutral.
kliṣṭaṃ manaḥ sarvatragaiḥ pañcabhiś caturbhiś ca kleśair ātmamohādibhiḥ sadā saṃprayujyate /	The contaminated manas is accompanied by the five ever-present and the four kleśas, error from self, etc.; and in it is the feeling of 'indifference', and that is veiled-neutral.
idam idānīñ cintyate /	Now the following is examined.
kiṃ pañcānāñ cakṣurvijñānādīnāṃ yugapad ālambanapratyayasānnidhye 'py ālayavijñānād ekasyaivotpattir bhavati na dvayor na bahūnāṃ vā /	If the object condition is present for cakṣurvijnāna and the other four at the same time, does one or two or more arise from the alayavijnana?
na dvayor na bahūnāṃ vā yugapat samanantarapratyayābhāvād ekasyaiva vijñānasyotpattir bhavati / na caikaṃ vijñānaṃ bahūnāṃ samantarapratyayatvaṃ pratipattum utsahate /	Namely, some think: not two or more, but one vijnana arises because there are not samanantarapratyayas at the same time, and not one vijnana for several can give the samanantarapratyaya or without limitation?
yady ekasyaiva pratyayasāṃnidhyam ekam evotpadyate / evaṃ dvayor bahūnāñ ca pratyayasāṃnidhye utpattir bhavatīty ata āha /	If there is pratyaya for only one, then only one arises; likewise when there are two and more of the pratyaya, then two and more arise.
pañcānāṃ mūlavijñāne yathāpratyayam udbhavaḥ / vijñānānāṃ saha na vā taraṅgāṇāṃ yathā jale // 15 pañcānām iti cakṣurādivijñānānāṃ tadanucaramanovijñānasahitḥnḥm /	The five kinds of consciousness arise together or not in the primordial consciousness according to the presence of their pratyaya, like ripples in water.The five viz. face consciousness etc., accompanied by the manovijnana following them.
pañcānāṃ cakṣurādivijñānānāṃ bījāśrayatvāt tadutpatter gatiṣu janmopādānāc cālayavijñānaṃ mūlavijñānam ity ucyate /	Because the five mentioned arise from the alayavijnana, which is their substratum, and from this the birth in the classes of beings is founded, it is called primal consciousness.
yathāpratyayam udbhava iti yasya yasya yaḥ pratyayaḥ saṃnihitas tasya tasya niyamenodbhava ātmalābhaḥ /	Depending on their pratyaya, they arise, ie, from which there is the corresponding pratyaya that arises comes into being, with necessity;
saha na veti yugapat krameṇa vā /	together or not, ie simultaneously or sequentially;
taraṅgāṇāṃ yathā jala ity ālayavijñānāt pravṛttivijñānānāṃ yugapad ayugapac cotpattau dṛṣṭāntaḥ / yathoktam /	like the waves in the water, this is a simile for the simultaneous and successive emergence of the pravṛttivijnanas from the alayavijnana. For thus it is written: 'Oh, Visalamati!
taraṅgasyotpattipratyayaḥ pratyupasthito bhavaty ekam eva taraṅgaṃ pravartate /	When the condition for a wave to arise in a flowing mass of water arises, then only one wave arises;
saced dvayos trayāṇāṃ saṃbahulānāṃ taraṅgāṇām utpattipratyayaḥ pratyupasthito bhavati yāvat	when the condition for the emergence of two, three, many waves has set in, then to many waves arise;
na ca tasyodakaughasya srotasā	and there is no annihilation of the flowing mass of water.
na paryupayogaḥ prajñāyate /	The application is not understood.
evam eva viśālamate tadoghasthānīyam ālayavijñānaṃ saṃniśritya pratiṣṭhāya saced ekasya cakṣurvijñānasyotpattipratyayaḥ	Just as, O Viśalamati, when based on, having as a basis the alayavijnana represented by the mass of water, the arising condition for a kind of consciousness has arisen, just like that face consciousness arises;
saced dvayos trayāṇāṃ sacet pañcānāṃ vijñānānām utpattipratyayaḥ pratyupasthito bhavati sakṛd yāvat pañcānāṃ pravṛttir bhavati / atra gāthā / ādānavijñāna gabhīrasūkṣmo ogho yathā vartati sarvabījo / bālāna eṣo mayi na prakāśi mā haiva ātmā parikalpayeyur	when for two, three, when for five consciousness the arising condition has set in, one to five come forth.A stanza above it: ādānavijnanagabhīrasükşmo ogho yathā vartati sarvabijo, bālā eşām api na prakāśite mohaîva ātmā parikalpayeyuh.
iti / na hi vijñānapratiniyamenālambanapratyayavat samanantarapratyaya iṣyate /	For a specific samanantarapratyaya is not required for each individual vijnana, as is the case with regard to the alambanapratyaya;
sarvavijñānotpattau sarvasya vijñānasya tatsamanantarapratyayatvābhyupagamāt /	but it is assumed that the whole alaya vijnana for all individual vijnānas is the samanantarapratyaya.
ata ekasmād api samanantarapratyayād ālambanapratyayasānnidhye dvayor bahūnāṃ vā vijñānānām utpattir na virūdhyate /	Therefore, there is no objection to two or more consciousnesses arising from a single samanantarapratyaya when the alambanapratyayas are present.
kiñ cātra kāraṇaṃ yat samanantarapratyayapratiniyamābhāve pañcānāñ ca yugapad ālambanapratyayasānnidhya ekenaivotpattavyaṃ na pañcabhir apīti /	And what could mean that if no special samanantarapratyaya is needed for each individual vijnana and the ālambanapratyayas exist for five at the same time, only one vijnana should arise?
tasmād alambanasadbhāve pañcānām api cotpattir ity abhyupeyam /	Therefore, one must assume that when the objects are there, five vijnanas also arise.
idam īdānīṃ vaktavyam /	These are apparently words of the Viśālamati asking for explanation of the parable.
kiṃ manovijñānaṃ cakṣurādivijñānaiḥ saha pravartate vinā ca / uta naivety ata āha / manovijñānasaṃbhūtiḥ sarvadāsaṃjñikād ṛte /	In the stream of thought every preceding moment of consciousness is the cause of the next following one.This relation, called samanantara-pratyaya, is now replaced by the relation of store-consciousness to its modifications.
samāpattidvayān middhān mūrcchanād apy acittakāt // 16 iti / sarvadeti sarvakālaṃ cakṣurādivijñānaiḥ saha vinā cety arthaḥ / asyotsargasyemam apavādam ārabhate / āsaṃjñikād ṛte samāpattidvayān middhān mūrcchanād apy acittakād iti / (16bd)	Now the following needs to be discussed: does the manovijnana come forth together with face consciousness, etc., and without it, or About this he says: The manovijnāna always arises, except for the āsamjnika, in the two raptures, further in the case of unconsciousness and fainting 'Always', ie at all times with sight consciousness etc. and without them He gives the exceptions to this rule an: 'except (until end)'.
tatrāsaṃjñikam asaṃjñisattveṣu deveṣūpapannasya yaś cittacaitasikānāṃ dharmāṇāṃ nirodhaḥ /	asamjnikam is the suppression of the mind and mental dharmas on the part of one who is caught up among the asam jnisattva gods.
